school.name,lat,lon,addr
Unity Center for Urban Technologies,40.7241219,-74.0051608,"121 6th Ave, New York, NY 10013, USA"
Union Square Academy for Health Sciences,40.7354911,-73.9874171,"40 Irving Pl, New York, NY 10003, USA"
Transit Tech Career and Technical Education High S,40.678748,-73.8752132,"1 Wells St, Brooklyn, NY 11208, USA"
Townsend Harris High School,40.7349867,-73.821365,"149-11 Melbourne Ave, Flushing, NY 11367, USA"
Tottenville High School,40.5278857,-74.1932553,"100 Luten Ave, Staten Island, NY 10312, USA"
Thurgood Marshall Academy for Learning and Social,40.8152252,-73.9443209,"200-214 W 135th St, New York, NY 10030, USA"
Thomas A. Edison Career and Technical Education Hi,40.7162714,-73.7983076,"165-65 84th Ave, Jamaica, NY 11432, USA"
Theatre Arts Production Company School,40.8546548,-73.8970362,"2225 Webster Avenue, Bronx, NY 10457, United States"
The Urban Assembly School for Law and Justice,40.6946132,-73.9883212,"283 Adams St, Brooklyn, NY 11201, USA"
The Urban Assembly School for Green Careers,40.785994,-73.97417,"145 W 84th St, New York, NY 10024, USA"
The Urban Assembly School for Global Commerce,40.8069921,-73.9386038,"2005 Madison Ave, New York, NY 10035, USA"
The Urban Assembly School for Emergency Management,40.7110316,-74.0013216,"411 Pearl St, New York, NY 10038, USA"
The Urban Assembly School for Collaborative Health,40.6929603,-73.8690232,"999 Jamaica Ave, Brooklyn, NY 11208, USA"
The Urban Assembly Bronx Academy of Letters,40.81366,-73.925999,"339 Morris Ave, Bronx, NY 10451, USA"
The Uft Charter School,40.6598508,-73.8855899,"800 Van Siclen Ave, Brooklyn, NY 11207, USA"
"The School for Classics: An Academy of Thinkers, W",40.6695156,-73.8741107,"370 Fountain Ave, Brooklyn, NY 11208, USA"
The Opportunity Charter School,40.8014375,-73.955707,"240 W 113th St, New York, NY 10026, USA"
The Michael J. Petrides School,40.6081534,-74.1055942,"715 Ocean Terrace, Staten Island, NY 10301, USA"
The Metropolitan Soundview High School,40.8321278,-73.8777215,"1300 Boynton Ave, Bronx, NY 10472, USA"
"The Marie Curie School for Medicine, Nursing, and",40.8755907,-73.9017195,"120 W 231st St, Bronx, NY 10463, USA"
The High School of Fashion Industries,40.74566,-73.996412,"225 W 24th St, New York, NY 10011, USA"
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,40.7353237,-73.9870812,"40 Irving Pl, New York, NY 10003, USA"
The High School for Global Citizenship,40.6699561,-73.9611201,"883 Classon Ave, Brooklyn, NY 11225, USA"
"The High School for Enterprise, Business and Techn",40.711777,-73.9392113,"850 Grand St, Brooklyn, NY 11211, USA"
The Global Learning Collaborative,40.785992,-73.9743724,"145 W 84th St, New York, NY 10024, USA"
The Equality Charter School,40.8641362,-73.8239598,"4140 Hutchinson River Pkwy E, Bronx, NY 10475, USA"
The College Academy,40.8608456,-73.9301494,"4600 Broadway, New York, NY 10040, USA"
THE CINEMA SCHOOL,40.8324461,-73.8781481,"1551 E 172nd St, Bronx, NY 10472, USA"
The Brooklyn School for Math and Research,40.6970064,-73.9117456,"400 Irving Ave, Brooklyn, NY 11237, USA"
The Brooklyn Academy of Global Finance,40.6916161,-73.9332726,"125 Stuyvesant Ave, Brooklyn, NY 11221, USA"
The Bronxwood Preparatory Academy,40.8882379,-73.85261,"921 E 228th St, Bronx, NY 10466, USA"
Teachers Preparatory High School,40.6654883,-73.9120541,"Brooklyn, NY 11212, USA"
Talent Unlimited High School,40.7660749,-73.9600658,"300 E 68th St, New York, NY 10065, USA"
Susan E. Wagner High School,40.5972873,-74.1251624,"1200 Manor Rd, Staten Island, NY 10314, USA"
Sunset Park High School,40.6551493,-74.0041149,"153 35th St, Brooklyn, NY 11232, USA"
Summit Academy Charter School,40.6775869,-74.0047002,"27 Huntington St, Brooklyn, NY 11231, USA"
Stuyvesant High School,40.7179842,-74.0138707,"345 Chambers St, New York, NY 10282, USA"
Stephen T. Mather Building Arts & Craftsmanship Hi,40.7638485,-73.9902785,"4, 439 W 49th St, New York, NY 10019, USA"
Staten Island Technical High School,40.5676214,-74.1181129,"485 Clawson St, Staten Island, NY 10306, USA"
Special Music School,40.7752064,-73.9831573,"129 W 67th St, New York, NY 10023, USA"
South Bronx Preparatory: A College Board School,40.8137231,-73.9206428,"360 E 145th St, Bronx, NY 10454, USA"
Sheepshead Bay High School,40.59314,-73.936638,"3000 Avenue X, Brooklyn, NY 11235, USA"
Secondary School for Law,40.6694296,-73.9788092,"237 7th Ave, Brooklyn, NY 11215, USA"
Secondary School for Journalism,40.6694296,-73.9788092,"237 7th Ave, Brooklyn, NY 11215, USA"
"Science, Technology and Research Early College Hig",40.6495006,-73.9571733,"911 Flatbush Ave, Brooklyn, NY 11226, USA"
"Science Skills Center High School for Science, Tec",40.6975191,-73.9847778,"49 Flatbush Ave Ext, Brooklyn, NY 11201, USA"
Schuylerville Preparatory High School,40.8401731,-73.8393567,"3000 E Tremont Ave, Bronx, NY 10461, USA"
School of the Future High School,40.7390867,-73.9853658,"127 E 22nd St, New York, NY 10010, USA"
School for Tourism and Hospitality,40.8217781,-73.9027626,"900 Tinton Ave, Bronx, NY 10456, USA"
School for Legal Studies,40.7117723,-73.9391255,"850 Grand St, Brooklyn, NY 11211, USA"
School for International Studies,40.6853525,-73.9937249,"284 Baltic St, Brooklyn, NY 11201, USA"
"School for Human Rights, The",40.658665,-73.943838,"600 Kingston Ave, Brooklyn, NY 11203, USA"
School for Excellence,40.8273033,-73.9045097,"1100 Boston Rd, Bronx, NY 10456, USA"
School for Democracy and  Leadership,40.658665,-73.943838,"600 Kingston Ave, Brooklyn, NY 11203, USA"
Scholars' Academy,40.5842665,-73.8251698,"320 Beach 104th St, Rockaway Park, NY 11694, USA"
Samuel Gompers Career and Technical Education High,40.810415,-73.9075759,"455 Southern Blvd, Bronx, NY 10455, USA"
Rockaway Park High School for Environmental Sustai,40.5865189,-73.8234853,"100-00 Beach Channel Dr, Rockaway Park, NY 11694, USA"
Rockaway Collegiate High School,40.5866656,-73.823435,"100-00 Beach Channel Dr, Rockaway Park, NY 11694, USA"
Robert H. Goddard High School of Communication Art,40.6709381,-73.8456699,"138-30 Lafayette St, Ozone Park, NY 11417, USA"
"Robert F. Wagner, Jr. Secondary School for Arts an",40.7414438,-73.9369395,"4707 30th Pl, Long Island City, NY 11101, USA"
Robert F. Kennedy Community High School,40.7253501,-73.8113253,"75-40 Parsons Blvd, Flushing, NY 11366, USA"
Riverdale / Kingsbridge Academy (Middle School / H,40.8876623,-73.9135704,"660 W 236th St, Bronx, NY 10463, USA"
Richmond Hill High School,40.6949616,-73.8340778,"89-30 114th St, Richmond Hill, NY 11418, USA"
Richard R. Green High School of Teaching,40.7054431,-74.0129291,"7 Beaver St, New York, NY 10004, USA"
Repertory Company High School for Theatre Arts,40.7561154,-73.9844504,"123 W 43rd St #2, New York, NY 10036, USA"
Renaissance High School for Musical Theater & Tech,40.8401731,-73.8393567,"3000 E Tremont Ave, Bronx, NY 10461, USA"
Renaissance Charter School,40.7499835,-73.8851717,"35-59 81st St, Jackson Heights, NY 11372, USA"
Renaissance Charter High School for Innovation,40.7850266,-73.9420076,"410 E 100th St #2nd, New York, NY 10029, USA"
Ralph R. McKee Career and Technical Education High,40.6427954,-74.0792526,"290 St Marks Pl, Staten Island, NY 10301, USA"
Rachel Carson High School for Coastal Studies,40.582487,-73.9718778,"521 West Ave, Brooklyn, NY 11224, USA"
Quest to Learn,40.7433678,-74.0025475,"351 W 18th St, New York, NY 10011, USA"
Queens Vocational and Technical High School,40.741992,-73.927947,"37-02 47th Ave, Long Island City, NY 11101, USA"
"Queens School of Inquiry, The",40.724191,-73.80937,"158-40 76th Rd, Flushing, NY 11366, USA"
Queens Preparatory Academy,40.6682778,-73.756888,"143-10 Springfield Blvd, Springfield Gardens, NY 11413, USA"
QUEENS METROPOLITAN HIGH SCHOOL,40.7085723,-73.8556439,"91-30 Metropolitan Ave, Forest Hills, NY 11375, USA"
"Queens High School of Teaching, Liberal Arts and t",40.744121,-73.728799,"74-20 Commonwealth Blvd, Queens, NY 11426, USA"
Queens High School for the Sciences at York Colleg,40.7009286,-73.7983153,"94-50 159th St, Jamaica, NY 11451, USA"
Queens High School for Language Studies,40.7649086,-73.827688,"35-01 Union St, Flushing, NY 11354, USA"
"Queens High School for Information, Research, and",40.601532,-73.763979,"8-21 Bay 25th St, Far Rockaway, NY 11691, USA"
Queens Gateway to Health Sciences Secondary School,40.718422,-73.8058837,"160-20 Goethals Ave, Jamaica, NY 11432, USA"
Queens Collegiate: A College Board School,40.7141939,-73.7979008,"16701 Gothic Dr, Jamaica, NY 11432, USA"
PROGRESS High School for Professional Careers,40.711809,-73.939075,"850 Grand St, Brooklyn, NY 11211, USA"
Professional Performing Arts High School,40.7615598,-73.9884908,"328 W 48th St, New York, NY 10036, USA"
Preparatory Academy for Writers: A College Board S,40.6679692,-73.7580558,"143-10 Springfield Blvd, Springfield Gardens, NY 11413, USA"
Port Richmond High School,40.634843,-74.142015,"85 St Josephs Ave, Staten Island, NY 10302, USA"
Performing Arts and Technology High School,40.6668454,-73.8952889,"400 Pennsylvania Ave, Brooklyn, NY 11207, USA"
Pelham Preparatory Academy,40.8603656,-73.8602473,"925 Astor Ave, Bronx, NY 10469, USA"
Pelham Lab High School,40.8398127,-73.8379652,"3000 E Tremont Ave, Bronx, NY 10461, USA"
Peace and Diversity Academy,40.827719,-73.8970008,"1180 Rev James A Polite Ave, Bronx, NY 10459, USA"
Pathways in Technology Early College High School (,40.6759682,-73.9392494,"150 Albany Ave, Brooklyn, NY 11213, USA"
Pathways College Preparatory School: A College Boa,40.7057537,-73.7527082,"109-89 204th St, St. Albans, NY 11412, USA"
Park Slope Collegiate,40.6694296,-73.9788092,"237 7th Ave, Brooklyn, NY 11215, USA"
Park East High School,40.7903307,-73.9440649,"230 E 105th St, New York, NY 10029, USA"
Pan American International High School at Monroe,40.8321278,-73.8777215,"1300 Boynton Ave, Bronx, NY 10472, USA"
Pan American International High School,40.743329,-73.871507,"45-10 94th St, Queens, NY 11373, USA"
Pace High School,40.7161208,-73.9940528,"100 Hester St, New York, NY 10002, USA"
Pablo Neruda Academy,40.8213444,-73.8556733,"1980 Lafayette Ave # 4, Bronx, NY 10473, USA"
Origins High School,40.5934398,-73.9367824,"3000 Avenue X, Brooklyn, NY 11235, USA"
Ocean Hill Collegiate Charter School,40.6780824,-73.9159194,"1137 Herkimer St, Brooklyn, NY 11233, USA"
NYC iSchool,40.7244276,-74.0048709,"131 6th Ave, New York, NY 10013, USA"
"NYC Charter High School for Architecture, Engineer",40.8218406,-73.9105384,"838 Brook Ave, Bronx, NY 10451, USA"
Northside Charter High School,40.719717,-73.9484512,"424 Leonard St, Brooklyn, NY 11222, USA"
Newtown High School,40.7408369,-73.8739856,"48-01 90th St, Elmhurst, NY 11373, USA"
Newcomers High School,40.7514349,-73.9369976,"28-01 41st Ave, Long Island City, NY 11101, USA"
New World High School,40.8883728,-73.8527494,"921 E 228th St, Bronx, NY 10466, USA"
New Visions Charter High School for the Humanities,40.8775187,-73.9132554,"99 Terrace View Ave, Bronx, NY 10463, USA"
New Visions Charter High School for Advanced Math,40.59314,-73.936638,"3000 Avenue X, Brooklyn, NY 11235, USA"
New Utrecht High School,40.6134264,-74.0029406,"1601 80th St, Brooklyn, NY 11214, USA"
New Heights Academy Charter School,40.8286152,-73.9454018,"1818 Amsterdam Ave, New York, NY 10031, USA"
New Explorers High School,40.8226154,-73.9233477,"730 Concourse Village W, Bronx, NY 10451, USA"
"New Explorations into Science, Technology and Math",40.719485,-73.979552,"111 Columbia St, New York, NY 10002, USA"
New Dorp High School,40.5695781,-74.1073767,"465 New Dorp Ln, Staten Island, NY 10306, USA"
New Design High School,40.7173162,-73.989318,"4, 350 Grand St, New York, NY 10002, USA"
Nelson Mandela High School,40.6789033,-73.9314906,"1700 Fulton St, Brooklyn, NY 11213, USA"
N.Y.C. Museum School,40.7425709,-74.0023709,"333 W 17th St, New York, NY 10011, USA"
N.Y.C. Lab School for Collaborative Studies,40.7425709,-74.0023709,"333 W 17th St, New York, NY 10011, USA"
Murry Bergtraum High School for Business Careers,40.7113418,-74.0019945,"411 Pearl St, New York, NY 10038, USA"
Multicultural High School,40.6930052,-73.8690682,"999 Jamaica Ave, Brooklyn, NY 11208, USA"
Mott Haven Village Preparatory High School,40.8181071,-73.9114331,"701 St Ann's Ave, Bronx, NY 10455, USA"
Mott Hall V,40.8318874,-73.8772819,"1551 E 172nd St, Bronx, NY 10472, USA"
Mott Hall High School,40.817349,-73.94745,"4, 6 Edgecombe Ave, New York, NY 10030, USA"
Mott Hall Bronx High School,40.8396148,-73.9017332,"1595 Bathgate Ave, Bronx, NY 10457, USA"
Morris Academy for Collaborative Studies,40.8272169,-73.9039243,"1100 Boston Rd, Bronx, NY 10456, USA"
Monroe Academy for Visual Arts & Design,40.8323001,-73.8785801,"1300 Boynton Ave, Bronx, NY 10472, USA"
Millennium High School,40.7046866,-74.0112304,"75 Broad St, New York, NY 10004, USA"
Millennium Brooklyn HS,40.6693177,-73.9786411,"237 7th Ave, Brooklyn, NY 11215, USA"
Millennium Art Academy,40.8213444,-73.8556733,"1980 Lafayette Ave, Bronx, NY 10473, USA"
Midwood High School,40.632833,-73.9523773,"2839 Bedford Ave, Brooklyn, NY 11210, USA"
Middle College High School at LaGuardia Community,40.7433449,-73.933675,"3101 Thomson Ave, Long Island City, NY 11101, USA"
"Metropolitan High School, The",40.827733,-73.897018,"1180 Rev James A Polite Ave, Bronx, NY 10459, USA"
Metropolitan Expeditionary Learning School,40.708521,-73.8556713,"91-30 Metropolitan Ave, Forest Hills, NY 11375, USA"
Medgar Evers College Preparatory School,40.6669914,-73.9511135,"1186 Carroll St, Brooklyn, NY 11225, USA"
"Mathematics, Science Research and Technology Magne",40.6981894,-73.7460088,"207-01 116th Ave, Cambria Heights, NY 11411, USA"
"Math, Engineering, and Science Academy Charter Hig",40.695375,-73.9156662,"231 Palmetto St, Brooklyn, NY 11221, USA"
Maspeth High School,40.7291993,-73.8876918,"54-40 74th St, Queens, NY 11373, USA"
Martin Van Buren High School,40.7336309,-73.7391435,"230-17 Hillside Avenue, Queens Village, NY 11427, USA"
Marta Valle High School,40.7205149,-73.9856828,"145 Stanton St, New York, NY 10002, USA"
Marble Hill High School for International Studies,40.8771416,-73.9126839,"99 Terrace View Ave, Bronx, NY 10463, USA"
Manhattan Village Academy,40.7418899,-73.9923147,"43 W 22nd St, New York, NY 10010, USA"
Manhattan Theatre Lab High School,40.7747793,-73.98472,"122 Amsterdam Ave, New York, NY 10023, USA"
Manhattan International High School,40.7657337,-73.9598154,"317 E 67th St, New York, NY 10065, USA"
Manhattan Early College School for Advertising,40.7112756,-74.0012679,"411 Pearl St, New York, NY 10038, USA"
Manhattan Center for Science and Mathematics,40.7943534,-73.9329763,"280 Pleasant Ave, New York, NY 10029, USA"
MANHATTAN BUSINESS ACADEMY,40.7433678,-74.0025475,"351 W 18th St, New York, NY 10011, USA"
Manhattan Bridges High School,40.7652446,-73.9927375,"525 W 50th St, New York, NY 10019, USA"
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,40.746433,-73.981123,"111 East 33rd Street, 5th Floor, New York, NY 10016, United States"
Manhattan / Hunter Science High School,40.7747793,-73.98472,"122 Amsterdam Ave, New York, NY 10023, USA"
M.S. 223 The Laboratory School of Finance and Tech,40.813829,-73.920879,"360 E 145th St, Bronx, NY 10454, USA"
Lyons Community School,40.7097646,-73.9445188,"223 Graham Ave #337b, Brooklyn, NY 11206, USA"
Lower Manhattan Arts Academy,40.7169645,-73.9895323,"350 Grand St, New York, NY 10002, USA"
Long Island City High School,40.7654697,-73.9330529,"14-30 Broadway, Astoria, NY 11106, USA"
Life Sciences Secondary School,40.7832825,-73.9459371,"320 E 96th St, New York, NY 10128, USA"
Life Academy High School for Film and Music,40.5935726,-73.985987,"2630 Benson Ave, Brooklyn, NY 11214, USA"
Leon M. Goldstein High School for the Sciences,40.5803155,-73.9349246,"1830 Shore Blvd, Brooklyn, NY 11235, USA"
Legacy School for Integrated Studies,40.7364053,-73.9957205,"34 W 14th St #2, New York, NY 10011, USA"
Leadership Institute,40.7288738,-73.9946334,"1 West 4th Street, New York, NY 10012, USA"
Leadership and Public Service High School,40.7089611,-74.0124334,"90 Trinity Pl, New York, NY 10006, USA"
"Law, Government and Community Service High School",40.698328,-73.74615,"207-01 116th Ave, Cambria Heights, NY 11411, USA"
Landmark High School,40.7431223,-74.0025077,"351 W 18th St, New York, NY 10011, USA"
Kurt Hahn Expeditionary Learning School,40.6480464,-73.9222115,"5800 Tilden Ave, Brooklyn, NY 11203, USA"
Knowledge and Power Preparatory Academy Internatio,40.8594735,-73.888666,"500 E Fordham Rd, Bronx, NY 10458, USA"
KIPP STAR College Prep Charter School,40.8197643,-73.9572398,"Riverside Park Community, 625 W 133rd St, New York, NY 10027, USA"
KIPP Infinity Charter School,40.8201527,-73.9567369,"625 W 133rd St, New York, NY 10027, USA"
KIPP AMP Charter School,40.6722094,-73.9372506,"1224 Park Pl, Brooklyn, NY 11213, USA"
KIPP Academy Charter School,40.821482,-73.923794,"730 Concourse Village W, Bronx, NY 10451, USA"
Kingsbridge International High School,40.8704419,-73.8969425,"2780 Reservoir Ave, Bronx, NY 10468, USA"
Kingsborough Early College School,40.5936334,-73.9861661,"2630 Benson Ave, Brooklyn, NY 11214, USA"
Kings Collegiate Charter School,40.6579108,-73.9203827,"1084 Lenox Rd, Brooklyn, NY 11212, USA"
Khalil Gibran International Academy,40.6863861,-73.9797253,"362 Schermerhorn St, Brooklyn, NY 11217, USA"
Juan Morel Campos Secondary School,40.7043785,-73.9531909,"215 Heyward St, Brooklyn, NY 11206, USA"
Jonathan Levin High School for Media and Communica,40.8396545,-73.911386,"240 E 172nd St, Bronx, NY 10457, USA"
John W. Lavelle Preparatory Charter School,40.605437,-74.1797089,"1 Teleport Dr, Staten Island, NY 10311, USA"
John Dewey High School,40.5874871,-73.9820566,"50 Avenue X, Brooklyn, NY 11223, USA"
John Bowne High School,40.7387753,-73.8238923,"63-25 Main St, Flushing, NY 11367, USA"
John Adams High School,40.679276,-73.836564,"101-01 Rockaway Blvd, Ozone Park, NY 11417, USA"
Jane Addams High School for Academic Careers,40.8217489,-73.9024052,"900 Tinton Ave, Bronx, NY 10456, USA"
James Madison High School,40.6101298,-73.947968,"3787 Bedford Ave, Brooklyn, NY 11229, USA"
Jamaica Gateway to the Sciences,40.7141835,-73.7978589,"167-01 Gothic Dr, Jamaica, NY 11432, USA"
Jacqueline Kennedy Onassis High School,40.7576542,-73.9834089,"120 W 46th St, New York, NY 10036, USA"
J.H.S. 157 Stephen A. Halsey,40.7323207,-73.85295,"63-55 102nd St, Rego Park, NY 11374, USA"
It Takes a Village Academy,40.604018,-73.749909,"1045 Nameoke St, Far Rockaway, NY 11691, USA"
Inwood Early College for Health and Information Te,40.8659143,-73.925157,"650 Academy St, New York, NY 10034, USA"
International School for Liberal Arts,40.8704419,-73.8969425,"2780 Reservoir Ave, Bronx, NY 10468, USA"
International Leadership Charter High School,40.8809237,-73.9092123,"3030 Riverdale Ave, Bronx, NY 10463, USA"
International High School for Health Sciences,40.7408369,-73.8739856,"48-01 90th St, Queens, NY 11373, USA"
International High School at Union Square,40.7355088,-73.9874804,"40 Irving Pl, New York, NY 10003, USA"
International High School at Prospect Heights,40.6699636,-73.9615536,"883 Classon Ave, Brooklyn, NY 11225, USA"
International High School at LaGuardia Community C,40.7439998,-73.9350125,"45-35 Van Dam St, Long Island City, NY 11101, USA"
International High School at Lafayette,40.5936235,-73.9861442,"2630 Benson Ave, Brooklyn, NY 11214, USA"
International Community High School,40.8094243,-73.9172173,"345 Brook Ave, Bronx, NY 10454, USA"
International Arts Business School,40.658665,-73.943838,"600 Kingston Ave, Brooklyn, NY 11203, USA"
In-Tech Academy (M.S. / High School 368),40.8790734,-73.911364,"2975 Tibbett Ave, Bronx, NY 10463, USA"
Institute for Health Professions at Cambria Height,40.6983284,-73.7461497,"207-01 116th Ave, Jamaica, NY 11411, USA"
Institute for Collaborative Education,40.7326759,-73.9825764,"345 E 15th St, New York, NY 10003, USA"
Information Technology High School,40.7484914,-73.946552,"21-16 44th Rd, Long Island City, NY 11101, USA"
Hyde Leadership Charter School,40.8155936,-73.8852377,"730 Bryant Ave, Bronx, NY 10474, USA"
Humanities & Arts Magnet High School,40.6981894,-73.7460088,"207-01 116th Ave, Cambria Heights, NY 11411, USA"
Hudson High School of Learning Technologies,40.7433679,-74.0025474,"351 W 18th St, New York, NY 10011, USA"
Hostos-Lincoln Academy of Science,40.8145714,-73.9120401,"600 St Ann's Ave, Bronx, NY 10455, USA"
Holcombe L. Rucker School of Community Research,40.8175846,-73.8979824,"965 Longwood Ave, Bronx, NY 10459, USA"
Hillside Arts & Letters Academy,40.7142819,-73.7980413,"167-01 Gothic Dr, Jamaica, NY 11432, USA"
Hillcrest High School,40.7095227,-73.8024715,"160-05 Highland Ave, Jamaica, NY 11432, USA"
High School of World Cultures,40.8320451,-73.8783844,"1300 Boynton Ave, Bronx, NY 10472, USA"
High School of Sports Management,40.5935726,-73.985987,"2630 Benson Ave, Brooklyn, NY 11214, USA"
High School of Language and Innovation,40.8602833,-73.8603759,"925 Astor Ave, Bronx, NY 10469, USA"
High School of Hospitality Management,40.7655356,-73.9931625,"525 W 50th St, New York, NY 10019, USA"
High School of Graphic Communication Arts,40.7639856,-73.9903637,"439 W 49th St, New York, NY 10019, USA"
High School of Economics and Finance,40.7092906,-74.0123296,"100 Trinity Pl, New York, NY 10006, USA"
High School of Computers and Technology,40.8750988,-73.8616623,"800 E Gun Hill Rd, Bronx, NY 10467, USA"
High School of Arts and Technology,40.7748991,-73.9856157,"122 Amsterdam Ave, New York, NY 10023, USA"
High School of Applied Communication,40.7448591,-73.9369449,"30-20 Thomson Ave, Long Island City, NY 11101, USA"
High School of American Studies at Lehman College,40.8748759,-73.8952231,"2925 Goulden Ave, Bronx, NY 10468, USA"
High School of  Telecommunication Arts and Technol,40.6368371,-74.0233013,"350 67th St, Brooklyn, NY 11220, USA"
High School for Youth and Community Development at,40.6494997,-73.9581617,"911 Flatbush Ave, Brooklyn, NY 11226, USA"
High School for Violin and Dance,40.8272169,-73.9039243,"1100 Boston Rd, Bronx, NY 10456, USA"
High School for Teaching and the Professions,40.8704419,-73.8969425,"2780 Reservoir Ave, Bronx, NY 10468, USA"
High School for Service & Learning at Erasmus,40.6495813,-73.9581967,"911 Flatbush Ave, Brooklyn, NY 11226, USA"
High School for Public Service: Heroes  of Tomorro,40.6593652,-73.9431462,"600 Kingston Ave, Brooklyn, NY 11203, USA"
High School for Medical Professions,40.640423,-73.8984517,"1600 Rockaway Pkwy, Brooklyn, NY 11236, USA"
High School for Media and Communications,40.8562127,-73.9265543,"549 Audubon Ave, New York, NY 10040, USA"
"High School for Mathematics, Science and Engineeri",40.8214739,-73.9490389,"240 Convent Ave, New York, NY 10031, USA"
"High School for Law, Advocacy and Community Justic",40.7747793,-73.98472,"122 Amsterdam Ave, New York, NY 10023, USA"
