"","DBN","School Name","Average Score Regents Algebra","Percentage Passing Regents Algebra","Percentage at college ready threshold Regents Algebra","Average Score Regents Geometry","Percentage Passing Regents Geometry","Percentage at college ready threshold Regents Geometry","Average Score Regents Algebra 2/Trig","Percentage Passing Regents Algebra 2/Trig","Percentage at college ready threshold Regents Algebra 2/Trig","Average Score Regents English","Percentage Passing Regents English","Percentage at college ready threshold Regents English","Average Score Regents US History","Percentage Passing Regents US History","Average Score Regents Global History","Percentage Passing Regents Global History","Average Score Regents Chemistry","Percentage Passing Regents Chemistry","Average Score Regents Physics","Percentage Passing Regents Physics","Average Score Regents Earth Science","Percentage Passing Regents Earth Science","Average Score Regents Living Environment","Percentage Passing Regents Living Environment","Average Score Regents Languages Other Than English","Percentage Passing Regents Languages Other Than English"
"178","10X284","Bronx School of Law and Finance","65","0.591","0.053","62","0.486","0.069","55","0.174","0.087","73","0.837","0.48","76","0.889","62","0.51",NA,NA,NA,NA,NA,NA,"64","0.56","80","0.895"
"179","10X342","International School for Liberal Arts","64","0.669","0.039","62","0.351","0.027","54","0.208","0.042","69","0.85","0.234","78","0.905","64","0.529",NA,NA,NA,NA,"55","0.133","67","0.637","95","1"
"180","10X351","Bronx Collaborative High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","0.933","0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","10X353","World View High School","63","0.505","0.03","60","0.391","0.043",NA,NA,NA,"79","1","0.76",NA,NA,"60","0.459",NA,NA,NA,NA,NA,NA,"69","0.662",NA,NA
"182","10X368","In-Tech Academy (M.S. / High School 368)","64","0.546","0.118","68","0.586","0.229","60","0.458","0.167","73","0.802","0.512","69","0.644","58","0.34","59","0.333",NA,NA,"64","0.474","67","0.587","91","1"
"183","10X374","Knowledge and Power Preparatory Academy Internatio","66","0.578","0.07","70","0.735","0.118","59","0.4","0.133","71","0.767","0.46","77","0.852","67","0.606",NA,NA,NA,NA,"65","0.553","68","0.65","87","1"
"184","10X433","High School for Teaching and the Professions","62","0.489","0.016","51","0.2","0",NA,NA,NA,"69","0.765","0.373","68","0.69","59","0.473",NA,NA,NA,NA,"53","0.214","62","0.547","97","1"
"185","10X434","Belmont Preparatory High School","67","0.661","0.074","57","0.276","0.024","52","0.222","0.056","74","0.838","0.551","74","0.84","73","0.767","54","0.136","69","0.609","73","0.755","72","0.805","92","0.963"
"186","10X437","Fordham High School for the Arts","67","0.732","0.041","63","0.489","0.038","51","0.225","0.025","76","0.895","0.548","77","0.817","68","0.717","57","0.235","56","0.289",NA,NA,"74","0.819",NA,NA
"187","10X438","Fordham Leadership Academy for Business and Techno","60","0.399","0.007","54","0.143","0.029",NA,NA,NA,"68","0.658","0.404","64","0.54","58","0.368",NA,NA,NA,NA,"55","0.28","60","0.428",NA,NA
"188","10X439","Bronx High School for Law and Community Service","64","0.545","0.018","63","0.459","0.081","50","0.111","0","67","0.645","0.336","67","0.649","60","0.438",NA,NA,NA,NA,"59","0.338","64","0.565",NA,NA
"189","10X440","DeWitt Clinton High School","64","0.502","0.087","60","0.429","0.104","44","0.125","0.005","67","0.635","0.388","66","0.586","54","0.311","60","0.393","65","0.547","51","0.24","61","0.447","90","0.961"
"190","10X442","Celia Cruz Bronx High School of Music, The","64","0.532","0.042","63","0.509","0.06","54","0.311","0.089","80","0.984","0.776","79","0.958","69","0.71",NA,NA,"45","0.133","59","0.385","76","0.919","88","0.913"
"191","10X445","Bronx High School of Science","86","1","0.77","93","1","0.963","87","0.958","0.78","93","1","0.995","97","1","95","1","88","0.995","88","0.984",NA,NA,"93","1","94","0.995"
