Name,Sub,Score
"H.E.R.O. High (Health, Education, and Research Occ",Math,NA
Grover Cleveland High School,Math,452
Gregorio Luperon High School for Science and Mathe,Math,383
Green School: An Academy for Environmental Careers,Math,384
Gramercy Arts High School,Math,446
Grace Dodge Career and Technical Education High Sc,Math,343
Gotham Professional Arts Academy,Math,377
George Westinghouse Career and Technical Education,Math,394
George Washington Carver High School for the Scien,Math,439
Gaynor McCown Expeditionary Learning School,Math,442
Gateway School for Environmental Research and Tech,Math,NA
Frederick Douglass Academy VII High School,Math,400
Frederick Douglass Academy VI High School,Math,410
Frederick Douglass Academy IV Secondary School,Math,NA
Frederick Douglass Academy III Secondary School,Math,387
Frederick Douglass Academy II Secondary School,Math,390
Frederick Douglass Academy,Math,463
Franklin Delano Roosevelt High School,Math,504
Frank Sinatra School of the Arts High School,Math,536
FRANK McCOURT HIGH SCHOOL,Math,489
Francis Lewis High School,Math,562
Frances Perkins Academy,Math,399
Foundations Academy,Math,NA
Fort Hamilton High School,Math,513
Forest Hills High School,Math,517
Foreign Language Academy of Global Studies,Math,NA
Fordham Leadership Academy for Business and Techno,Math,355
Fordham High School for the Arts,Math,398
Food and Finance High School,Math,428
Flushing International High School,Math,481
Flushing High School,Math,444
Fiorello H. LaGuardia High School of Music & Art a,Math,592
Felisa Rincon de Gautier Institute for Law and Pub,Math,389
FDNY High School for Fire and Life Safety,Math,365
Fannie Lou Hamer Freedom High School,Math,345
"Facing History School, The",Math,366
Explorations Academy,Math,377
Expeditionary Learning School for Community Leader,Math,420
Eximius College Preparatory Academy: A College Boa,Math,400
Excelsior Preparatory High School,Math,384
Excellence Boys Charter School,Math,NA
Essex Street Academy,Math,395
ESPERANZA PREPARATORY ACADEMY,Math,NA
Epic High School - South,Math,NA
Epic High School - North,Math,NA
Energy Tech High School,Math,NA
Eleanor Roosevelt High School,Math,641
El Puente Academy for Peace and Justice,Math,344
Edward R. Murrow High School,Math,500
EBC High School for Public Service - Bushwick,Math,389
East-West School of International Studies,Math,521
East Side Community School,Math,454
East New York Family Academy,Math,464
East Bronx Academy for the Future,Math,418
Eagle Academy for Young Men III,Math,NA
Eagle Academy for Young Men II,Math,NA
Eagle Academy for Young Men,Math,398
DreamYard Preparatory School,Math,385
Dr. Susan S. McKinney Secondary School of the Arts,Math,332
Dr. Richard Izquierdo Health and Science Charter S,Math,NA
Discovery High School,Math,432
DeWitt Clinton High School,Math,445
Democracy Prep Harlem Charter School,Math,NA
Democracy Prep Charter School,Math,505
Cypress Hills Collegiate Preparatory School,Math,365
Curtis High School,Math,453
Cultural Academy for the Arts and Sciences,Math,382
CSI High School for International Studies,Math,477
Crotona International High School,Math,NA
Coney Island Preparatory Public Charter School,Math,NA
Comprehensive Model School Project M.S. 327,Math,NA
Community School for Social Justice,Math,380
Community Health Academy of the Heights,Math,387
Columbia Secondary School,Math,583
Collegiate Institute for Math and Science,Math,488
Cobble Hill School of American Studies,Math,416
Coalition School for Social Change,Math,344
Claremont International HS,Math,NA
Clara Barton High School,Math,408
Civic Leadership Academy,Math,435
"City Polytechnic High School of Engineering, Archi",Math,503
City College Academy of the Arts,Math,495
Choir Academy of Harlem,Math,NA
Chelsea Career and Technical Education High School,Math,439
Channel View School for Research,Math,427
Central Park East High School,Math,483
"Celia Cruz Bronx High School of Music, The",Math,417
Cambria Heights Academy,Math,418
"Business, Computer Applications & Entrepreneurship",Math,382
Business Technology Early College High School,Math,NA
BUSINESS OF SPORTS SCHOOL,Math,395
Bushwick School for Social Justice,Math,365
Bushwick Leaders High School for Academic Excellen,Math,393
Brownsville Collegiate Charter School,Math,NA
Brooklyn Theatre Arts High School,Math,379
Brooklyn Technical High School,Math,682
Brooklyn Studio Secondary School,Math,458
Brooklyn Secondary School for Collaborative Studie,Math,401
Brooklyn School for Music & Theatre,Math,382
Brooklyn School for Global Studies,Math,393
Brooklyn Prospect Charter School,Math,NA
Brooklyn Preparatory High School,Math,391
"Brooklyn Latin School, The",Math,625
Brooklyn Lab School,Math,383
Brooklyn International High School,Math,432
Brooklyn Institute for Liberal Arts,Math,NA
Brooklyn High School of the Arts,Math,439
Brooklyn High School for Law and Technology,Math,395
Brooklyn Generation School,Math,392
Brooklyn East Collegiate Charter School,Math,NA
"Brooklyn Community High School of Communication, A",Math,358
Brooklyn Collegiate: A College Board School,Math,394
Brooklyn College Academy,Math,502
Brooklyn Academy of Science and the Environment,Math,419
Bronxdale High School,Math,418
Bronx Theatre High School,Math,382
Bronx Studio School for Writers and Artists,Math,417
Bronx School of Law and Finance,Math,384
"Bronx School for Law, Government and Justice",Math,403
Bronx River High School,Math,NA
Bronx Preparatory Charter School,Math,NA
Bronx Lighthouse Charter School,Math,463
Bronx Leadership Academy II High School,Math,384
Bronx Leadership Academy High School,Math,375
Bronx Latin,Math,394
Bronx Lab School,Math,407
Bronx International High School,Math,355
Bronx High School of Science,Math,714
Bronx High School of Business,Math,365
Bronx High School for Writing and Communication Ar,Math,380
Bronx High School for the Visual Arts,Math,408
Bronx High School for Medical Science,Math,431
Bronx High School for Law and Community Service,Math,401
Bronx Health Sciences High School,Math,407
Bronx Guild,Math,365
Bronx Envision Academy,Math,364
Bronx Engineering and Technology Academy,Math,394
Bronx Early College Academy for Teaching & Learnin,Math,424
