"","DBN","School Name","Average Score SAT Math","Percentage of 4-year Cohort Taking SAT Math","Percentage College Ready SAT Math","Average Score SAT Critical Reading","Percentage of 4-year Cohort Taking SAT Critical Reading","Percentage College Ready SAT Critical Reading","Average Score SAT Writing","Percentage of 4-year Cohort Taking SAT Writing"
"188","04M435","Manhattan Center for Science and Mathematics","556","0.876","1","505","0.876","1","495","0.876"
"189","02M392","MANHATTAN BUSINESS ACADEMY","410","0.697","1","407","0.697","1","399","0.697"
"190","02M542","Manhattan Bridges High School","409","0.844","1","360","0.844","1","347","0.844"
"191","02M427","MANHATTAN ACADEMY FOR ARTS & LANGUAGE","350","0.461","1","334","0.461","1","321","0.461"
"192","03M541","Manhattan / Hunter Science High School","581","0.972","1","531","0.972","1","535","0.972"
"193","07X223","M.S. 223 The Laboratory School of Finance and Tech",NA,NA,NA,NA,NA,NA,NA,NA
"194","14K586","Lyons Community School","374","0.563","1","376","0.563","1","357","0.563"
"195","02M308","Lower Manhattan Arts Academy","418","0.651","1","428","0.651","1","415","0.651"
"196","30Q450","Long Island City High School","430","0.516","1","423","0.516","1","412","0.516"
"197","02M655","Life Sciences Secondary School","435","0.63","1","440","0.63","1","425","0.63"
"198","21K559","Life Academy High School for Film and Music","369","0.702","1","379","0.702","1","378","0.702"
"199","22K535","Leon M. Goldstein High School for the Sciences","563","0.94","1","534","0.94","1","543","0.94"
"200","02M429","Legacy School for Integrated Studies",NA,"0.65","0",NA,"0.65","1",NA,"0.65"
"201","09X276","Leadership Institute",NA,"0.235","0",NA,"0.235","1",NA,"0.235"
"202","02M425","Leadership and Public Service High School","390","0.549","1","396","0.549","1","392","0.549"
"203","29Q494","Law, Government and Community Service High School","387","0.446","1","386","0.446","1","388","0.446"
"204","02M419","Landmark High School","386","0.306","1","386","0.306","1","386","0.306"
"205","18K569","Kurt Hahn Expeditionary Learning School","378","0.726","1","394","0.726","1","388","0.726"
"206","10X374","Knowledge and Power Preparatory Academy Internatio","408","0.667","1","417","0.667","1","404","0.667"
