loc,lat,lon
97A Hoyt Street NYC,40.6875009,-73.9869828
26 BROADWAY NYC,40.7054423,-74.0128882
93 WORTH ST NYC,40.7165872,-74.0048064
53 W 35TH ST NYC,40.7501853,-73.9863204
9712 101ST AVE NYC,40.6846444,-73.8436368
6110 MYRTLE AVENUE NYC,40.7006932,-73.8937756
214 E BURNSIDE AVE NYC,40.8518146,-73.9031172
4704 3RD AVE NYC,40.7286208,-73.9906003
245 EAST HOUSTON STREET NYC,40.7217012,-73.9855107
191 EAST  161 STREET NYC,40.8267966,-73.9212329
15228 NORTHERN BOULEVARD NYC,40.7646583,-73.81202
3555 VICTORY BOULEVARD NYC,40.6016495,-74.1767682
1593 1 AVENUE NYC,40.7749003,-73.9510928
3801 30 AVENUE NYC,40.7643696,-73.915409
358 WEST   44 STREET NYC,40.7594328,-73.9913646
3525 FT HAMILTON PARKWAY NYC,40.6445851,-73.9877035
629 W 57TH ST NYC,40.7709556,-73.9927595
3030 STILLWELL AVE NYC,40.574335,-73.981336
2705 BROADWAY NYC,40.7994459,-73.9687503
8267 BROADWAY NYC,40.741805,-73.880501
594 3 AVENUE NYC,40.7488254,-73.976173
9520 JAMAICA AVENUE NYC,40.6942203,-73.849581
4017 BELL BOULEVARD NYC,40.7638172,-73.7708157
3969 LACONIA AVENUE NYC,40.884126,-73.8495799
90 SOUTH    4 STREET NYC,40.7122884,-73.9643801
8712 LEFFERTS BOULEVARD NYC,40.699533,-73.831035
858 GERARD AVE NYC,40.8270834,-73.925058
26 MURRAY STREET NYC,40.7136113,-74.0087056
8812 4 AVENUE NYC,40.621086,-74.029381
9604 AVENUE L NYC,40.6381625,-73.8956633
235 WEST   56 STREET NYC,40.7659767,-73.9826427
13 E MOUNT EDEN AVE NYC,40.8443075,-73.9142916
150 EAST   86 STREET NYC,40.7790608,-73.955106
11217 FARMERS BOULEVARD NYC,40.7004564,-73.7636704
511 MYRTLE AVENUE NYC,40.693842,-73.9644572
122-126 ST MARKS PLACE NYC,40.7267435,-73.9837841
3512 DITMARS BOULEVARD NYC,40.7744143,-73.9087379
10018 QUEENS BLVD NYC,40.7264556,-73.8535046
848 WASHINGTON STREET NYC,40.740854,-74.0079523
5654 RIVERDALE AVENUE NYC,40.9057642,-73.9041142
6254 FOREST AVENUE NYC,40.711782,-73.905862
3005 AVENUE K NYC,40.6246478,-73.9461815
166 ELIZABETH STREET NYC,40.7207588,-73.9946574
808 WEST  181 STREET NYC,40.8508873,-73.9387032
7 EAST 47 STREET NYC,40.7565634,-73.9777607
11016 MERRICK BLVD NYC,40.695506,-73.782755
NKA JFK INTERNATIONAL AIRPORT NYC,40.6413111,-73.7781391
265 WEST   23 STREET NYC,40.7452537,-73.9976584
5701 FORT HAMILTON PKWY NYC,40.6342969,-74.0034388
1610 YORK AVE NYC,40.775231,-73.9472849
4012 BELL BOULEVARD NYC,40.7638362,-73.7714117
37 EAST   50 STREET NYC,40.7578742,-73.9746508
666 5 AVENUE NYC,40.760163,-73.976204
13685 41ST AVE NYC,40.7594309,-73.8264688
44 LITTLE WEST   12 STREET NYC,40.7402558,-74.0083876
6722 ROOSEVELT AVENUE NYC,40.7460452,-73.8973177
1104 LAFAYETTE AVE NYC,40.692421,-73.927651
34 WEST   32 STREET NYC,40.7460051,-73.9833241
4110 162ND ST NYC,40.7610935,-73.8040319
945 EAST  163 STREET NYC,40.821318,-73.8961659
3 PARK AVENUE NYC,40.7465582,-73.9811847
2308 1 AVENUE NYC,40.7974932,-73.9339769
3 GREENWICH AVENUE NYC,40.7338794,-73.9999408
19652 NORTHERN BLVD NYC,40.7577706,-73.784225
21709 LINDEN BLVD NYC,40.6960341,-73.7423376
451 MEEKER AVENUE NYC,40.7195916,-73.9458062
3318 DITMARS BOULEVARD NYC,40.7748021,-73.9093059
953 AMSTERDAM AVENUE NYC,40.8008646,-73.9650543
13620 ROOSEVELT AVE NYC,40.7593211,-73.8290528
11 WEST   53 STREET NYC,40.761417,-73.9771203
3388 JEROME  AVE NYC,40.8804293,-73.8835571
104 WEST   70 STREET NYC,40.7761017,-73.9801351
410 BRIGHTON BEACH AVE NYC,40.5770585,-73.9628442
4201 WEBSTER AVENUE NYC,40.895826,-73.86362
3701 61ST ST NYC,40.7493014,-73.9016068
1831 MOTT AVENUE NYC,40.6029284,-73.7507387
32 W 33RD ST NYC,40.7484236,-73.9868018
2706 AVENUE U NYC,40.5999601,-73.9444142
219 DYCKMAN STREET NYC,40.8658662,-73.9273615
700 MANHATTAN AVENUE NYC,40.8092891,-73.9537213
208 LIVINGSTON ST NYC,40.689476,-73.985988
422426 BELL BLVD NYC,40.7582634,-73.7682741
8229 164TH ST NYC,40.718468,-73.803273
10018 4TH AVE NYC,40.6125569,-74.0343092
7215 5 AVENUE NYC,40.778016,-73.962986
38 WEST 26TH ST NYC,40.7442852,-73.9907407
7518 37TH AVE NYC,40.7489225,-73.8905568
17 OLD FULTON ST NYC,40.702813,-73.9934909
1 RICHMOND TERRACE NYC,40.642211,-74.0751202
402 8 AVENUE NYC,40.749658,-73.9949238
0 JFK INTERNATIONAL AIRPORT NYC,40.6413111,-73.7781391
7312 13 AVENUE NYC,40.6213142,-74.0067118
4105 HYLAN BOULEVARD NYC,40.5398029,-74.1484551
7328 BELL BOULEVARD NYC,40.7399448,-73.7582677
3425 STEINWAY ST NYC,40.7559974,-73.9212284
553 WILSON AVENUE NYC,40.6915777,-73.9092787
2106 LINDEN BOULEVARD NYC,40.6607032,-73.8848608
12502 84 ROAD NYC,40.7080119,-73.8270135
711 5TH AVE NYC,40.7617155,-73.974359
170 SMITH ST NYC,40.6859551,-73.9913054
1 PENN PLZ NYC,40.751389,-73.993056
880 3 AVENUE NYC,40.7580347,-73.9696273
1776 OCEAN AVE NYC,40.6188531,-73.9554317
15923 HILLSIDE AVE NYC,40.708179,-73.8019883
1354 1 AVENUE NYC,40.7681212,-73.9553309
5418 31ST AVE NYC,40.7568732,-73.9066899
3317 31 AVENUE NYC,40.7635015,-73.9211359
217 E 86TH ST NYC,40.77867,-73.9528459
382 FOREST AVE NYC,40.6308235,-74.10204
1198B FOREST AVE NYC,40.626026,-74.129797
1904 UTICA AVE NYC,40.6253481,-73.9278719
2339 ASTORIA BLVD NYC,40.7715615,-73.9228378
212 PEARL STREET NYC,40.7069302,-74.0061787
3326 3 AVENUE NYC,40.8056388,-73.9349088
176 DYCKMAN ST NYC,40.8641472,-73.9267585
142 W HOUSTON ST NYC,40.7280821,-74.0016868
13115 JAMAICA AVE NYC,40.702326,-73.820628
000 JFK AIRPORT/BRITISH AIRWAYS INTL TERMINA NYC,40.6413111,-73.7781391
75 9 AVENUE NYC,40.7425548,-74.0060838
3853 BROADWAY NYC,40.8364363,-73.9435855
1126 EASTERN PARKWAY NYC,40.6683333,-73.9310014
24501 FRANCIS LEWIS BOULEVARD NYC,40.6649106,-73.734692
5302 108TH ST NYC,40.7425318,-73.854751
120 EAST   34 STREET NYC,40.7464441,-73.9802022
17525 JAMAICA AVENUE NYC,40.7081372,-73.7848275
657 LENOX AVENUE NYC,40.8190346,-73.9373582
283 EAST HOUSTON STREET NYC,40.7213807,-73.9843391
1 WALL STREET COURT NYC,40.707491,-74.0116385
2701 21ST ST NYC,40.7719672,-73.92589
9010 GRAND CENTRAL PARKWAY NYC,40.7692113,-73.8794646
770 59TH ST NYC,40.7728251,-73.9933307
1261-1263 ST NICHOLAS AVEUE NYC,40.8443759,-73.9376309
262 ASHLAND PL NYC,40.6872826,-73.9788827
21101 26 AVENUE NYC,40.7794457,-73.778853
185 ORCHARD ST NYC,40.722071,-73.98847
147 BLEECKER STREET NYC,40.728369,-73.9991763
11663 QUEENS BOULEVARD NYC,40.713345,-73.8284245
12418 101 AVENUE NYC,40.6911516,-73.8210341
691 CO-OP CITY BOULEVARD NYC,40.8807885,-73.8249813
465 6TH AVE NYC,40.7355981,-73.9984464
7210 NEW UTRECHT AVE NYC,40.6179532,-73.9996217
341 LENOX AVENUE NYC,40.809368,-73.944751
1-3 ELIZABETH STREET NYC,40.715477,-73.997776
9102 3 AVENUE NYC,40.7286208,-73.9906003
11202 SPRINGFIELD BLVD NYC,40.705262,-73.740213
2765 WEBSTER AVE NYC,40.8659677,-73.886484
19011 UNION TURNPIKE NYC,40.7300568,-73.7789294
84 E 10TH ST NYC,40.730868,-73.989939
153 EAST   53 STREET NYC,40.7583182,-73.9703542
1095 BERGEN ST NYC,40.6762114,-73.9494645
599 EAST 184 STREET NYC,40.8536704,-73.8894752
597 VANDERBILT AVENUE NYC,40.6795941,-73.9678795
2370 BELMONT AVENUE NYC,40.854225,-73.886462
24763 JAMAICA AVENUE NYC,40.7260989,-73.7189595
8107 ROOSEVELT AVENUE NYC,40.7477739,-73.8845495
12701 MERRICK BOULEVARD NYC,40.6818102,-73.7653877
875 FLATBUSH AVENUE NYC,40.6507758,-73.9586037
14932 41ST AVE NYC,40.7622106,-73.8145146
4 WEST   40 STREET NYC,40.7522348,-73.9819142
176 1ST AVE NYC,40.7290733,-73.9838678
132 AUDUBON AVENUE NYC,40.8429045,-73.9369043
433 PARK AVENUE SOUTH NYC,40.7441464,-73.9830747
4236 235 STREET NYC,40.7675936,-73.7480594
347 LEXINGTON AVENUE NYC,40.7498032,-73.9768587
941 MCDONALD AVENUE NYC,40.631151,-73.9769029
9101 JAMAICA AVENUE NYC,40.6932573,-73.8537651
7624 17 AVENUE NYC,40.6138654,-73.9996971
2145 2 AVENUE NYC,40.7935191,-73.9406515
2007 EMMONS AVE NYC,40.5840091,-73.9479813
355 FOOD CENTER DRIVE NYC,40.8067287,-73.8720055
90-15 QUEENS BLVD NYC,40.7344589,-73.8704971
116 WEST HOUSTON STREET NYC,40.727767,-74.0008674
8016 COOPER AVENUE NYC,40.7092514,-73.8694469
3428 FULTON STREET NYC,40.6843475,-73.8691361
120 ESSEX STREET NYC,40.7191941,-73.987588
13B ELDRIDGE ST NYC,40.7149117,-73.9938785
9019 JAMAICA AVENUE NYC,40.6931799,-73.8539491
158 GRAND STREET NYC,40.7200094,-73.9986383
174 CANAL ST NYC,40.7164788,-73.9975853
1818 AVENUE U NYC,40.5990059,-73.9529113
2 W 32ND ST NYC,40.7472117,-73.9861836
2 LAFAYETTE STREET NYC,40.7141238,-74.0039575
4021 108TH ST NYC,40.7501936,-73.8582282
9209 63 DRIVE NYC,40.7276033,-73.864133
8 SPRING ST NYC,40.720985,-73.994496
237 E 53RD ST NYC,40.7572713,-73.967839
405 BROADWAY NYC,40.718977,-74.0026409
1535 62 STREET NYC,40.7744153,-73.9911667
173 MULBERRY STREET NYC,40.7201049,-73.9972142
112 7 AVENUE NYC,40.7404798,-73.9985481
4734 VERNON BLVD NYC,40.7446084,-73.9537277
2241 SOUTHERN BOULEVARD NYC,40.8491031,-73.8828603
4217 111TH ST NYC,40.7498879,-73.8548162
3549 FRANCIS LEWIS BOULEVARD NYC,40.7636386,-73.7868794
1149 1 AVENUE NYC,40.7620943,-73.9604595
782 LEXINGTON AVE NYC,40.7633898,-73.9675731
844 RIVER AVENUE NYC,40.8271363,-73.9259928
14 AVENUE A NYC,40.722516,-73.985741
6142 SPRINGFIELD BOULEVARD NYC,40.7480849,-73.7564499
421 9 AVENUE NYC,40.7531802,-73.996829
18 9TH AVE NYC,40.7397421,-74.0058365
21335 39 AVENUE NYC,40.7656104,-73.7716648
183 PORT RICHMOND AVE NYC,40.6367718,-74.1339566
637 W 50TH ST NYC,40.766805,-73.996215
456 SUTTER AVENUE NYC,40.6680897,-73.9021376
363 GREENWICH STREET NYC,40.7190864,-74.0099858
1278 CASTLETON AVE NYC,40.6337682,-74.1252818
4213 BOWNE ST NYC,40.7569094,-73.8215682
5713 4TH AVE NYC,40.6420896,-74.0167209
697 FOREST AVENUE NYC,40.6297393,-74.1123152
406 3 AVENUE NYC,40.7425218,-73.98089
23 W 100TH ST NYC,40.7948221,-73.9639163
411 AMSTERDAM AVENUE NYC,40.7834858,-73.9777797
6145 188 STREET NYC,40.7395806,-73.7856486
13836 86 AVENUE NYC,40.7077622,-73.8170687
2655 RICHMOND AVENUE NYC,40.582418,-74.1659155
120 RIVERSIDE BOULEVARD NYC,40.7764061,-73.98911
691 TENTH AVE NYC,40.7630906,-73.9933208
1555 ST NICHOLAS AVENUE NYC,40.8535879,-73.9309199
3424 KOSSUTH AVENUE NYC,40.8805488,-73.8811176
275 94 STREET NYC,40.7938661,-73.9737086
63 LAFAYETTE AVENUE NYC,40.6872912,-73.975978
4708 WHITE PLAINS ROAD NYC,40.903784,-73.8496814
1684 WOODBINE ST NYC,40.700968,-73.907944
44 HENRY STREET NYC,40.7127161,-73.9957082
13824 FARMERS BOULEVARD NYC,40.6721798,-73.7644811
11101 LIBERTY AVE NYC,40.6849728,-73.8310765
8402 BROADWAY NYC,40.7398374,-73.8787719
2787 ATLANTIC AVE NYC,40.6766153,-73.8915576
201 W 145TH ST NYC,40.8219514,-73.9393307
35 COOPER SQ NYC,40.728,-73.990656
62 E 116TH ST NYC,40.7995786,-73.9442585
875 3RD AVE NYC,40.7571811,-73.9691583
904 MANHATTAN AVE NYC,40.8092891,-73.9537213
484 77TH ST NYC,40.7701372,-73.9515327
8 EXTRA PL NYC,40.7248598,-73.9916543
5601 5 AVENUE NYC,40.778016,-73.962986
8609 NORTHERN BLVD NYC,40.7562429,-73.8812829
4119 KISSENA BOULEVARD NYC,40.758293,-73.8286517
5408 8TH AVE NYC,40.8305223,-73.9361877
2025 BATH AVE NYC,40.6009756,-74.0005968
2 E 90TH ST NYC,40.7838507,-73.9584178
196 LENOX AVENUE NYC,40.8043388,-73.9475618
86 EAST    4 STREET NYC,40.7259478,-73.9892331
2593 FRANCIS LEWIS BOULEVARD NYC,40.7732798,-73.7953355
16908 CROCHERON AVE NYC,40.7625806,-73.7967588
57 BEACH STREET NYC,40.7673199,-73.9842663
15024 NORTHERN BOULEVARD NYC,40.7648768,-73.8143263
106 NORFOLK STREET NYC,40.71882,-73.986863
45 EAST   45 STREET NYC,40.7547501,-73.9774787
9433 CORONA AVENUE NYC,40.7424673,-73.868831
315 5TH AVE NYC,40.7468929,-73.9851941
9213 ROOSEVELT AVENUE NYC,40.7488482,-73.874088
1219A CASTLE HILL AVE NYC,40.832502,-73.8514311
432 3RD AVE NYC,40.7434395,-73.9800979
189 BORINQUEN PL NYC,40.7108591,-73.9521777
59 WEST   30 STREET NYC,40.7472605,-73.9893145
545 FLATBUSH AVE NYC,40.6607708,-73.9604351
230 PARK AVENUE NYC,40.7543721,-73.9761826
114 8 AVENUE NYC,40.7408231,-74.0014541
264 CYPRESS AVENUE NYC,40.8059662,-73.9139412
16554 BAISLEY BLVD NYC,40.6785774,-73.7772185
119 AVENUE A NYC,40.7264835,-73.9835089
2140 UTOPIA PARKWAY NYC,40.7775311,-73.7936921
8174 LEFFERTS BOULEVARD NYC,40.7078214,-73.8312614
1344 AMSTERDAM AVE NYC,40.8138347,-73.9562032
630 10 AVENUE NYC,40.7612856,-73.9939358
1633 BROADWAY NYC,40.7620791,-73.9846099
4534 BELL BLVD NYC,40.7592537,-73.7691357
26 SAINT MARKS PLACE NYC,40.7287968,-73.9887127
57 LENOX AVENUE NYC,40.8001252,-73.951469
345 ADAMS ST NYC,40.692723,-73.9884443
59 JFK AIRPORT NYC,40.6413111,-73.7781391
100 JAMAICA AVE NYC,40.6784737,-73.8964076
5 TIMES SQ NYC,40.7557119,-73.9873991
568 FLATBUSH AVENUE NYC,40.6597955,-73.9608681
9 PELL STREET NYC,40.7146052,-73.9977842
620 ATLANTIC AVENUE NYC,40.6826571,-73.9752822
4754 46 STREET NYC,40.7396178,-73.919518
2306 ARTHUR AVE NYC,40.8536514,-73.8889877
10 MORTON STREET NYC,40.731173,-74.0035589
1863 PITKIN AVE NYC,40.6708635,-73.9040451
7005 MYRTLE AVENUE NYC,40.7021348,-73.8808275
837 PENNSYLVANIA AVENUE NYC,40.6573202,-73.8893668
333 ADAMS STREET NYC,40.6936866,-73.9881689
25 WEST   35 STREET NYC,40.7498382,-73.9852924
353 GREENWICH ST NYC,40.7186421,-74.010138
1221 JEROME AVENUE NYC,40.8368677,-73.9219974
8000 COOPER AVENUE NYC,40.7090434,-73.8684682
132 E 61ST ST NYC,40.7634561,-73.9678153
301 WEST  110 STREET NYC,40.8011259,-73.9585118
323 NOSTRAND AVE NYC,40.6872886,-73.9507453
17204 LINDEN BLVD NYC,40.691695,-73.777868
683 CONEY ISLAND AVE NYC,40.6408157,-73.9689251
2555 STEINWAY STREET NYC,40.7664824,-73.9125548
4194 BOWNE STREET NYC,40.7572009,-73.8225207
300 SCHERMERHORN ST NYC,40.6873886,-73.9825246
497 DEKALB AVE NYC,40.6908983,-73.9570585
11220 QUEENS BOULEVARD NYC,40.7176544,-73.8365555
201 8 AVENUE NYC,40.7437309,-73.999989
32 W 32ND ST NYC,40.7476413,-73.9872392
120 W 57TH STREET NYC,40.7645582,-73.9784803
6459 DRY HARBOR ROAD NYC,40.7185189,-73.8724751
5304 8 Ave NYC,40.8305223,-73.9361877
401 8TH AVE NYC,40.7496858,-73.9956348
2 TIMES SQUARE NYC,40.7596814,-73.9847235
118 RIVINGTON STREET NYC,40.7199317,-73.9872724
25 LAFAYETTE AVENUE NYC,40.68709,-73.977952
302 E 49TH ST NYC,40.7539643,-73.9686898
8018 NORTHERN BOULEVARD NYC,40.7552104,-73.8866798
30 LINCON PLAZA NYC,40.7707681,-73.981731
13933 245 STREET NYC,40.6649932,-73.7342222
13617 38 AVENUE NYC,40.7611475,-73.8301349
71 NORTH MOORE STREET NYC,40.7200917,-74.0097612
226 WYCKOFF AVE NYC,40.7009398,-73.9139678
60 W 56TH ST NYC,40.7632829,-73.9774701
7102 FRESH POND RD NYC,40.701694,-73.895206
524 GRAND ST NYC,40.7146968,-73.9816827
1509 MERMAID AVENUE NYC,40.5770058,-73.9830812
2117 3 AVENUE NYC,40.7975545,-73.9399864
452 3RD AVE NYC,40.7442009,-73.9796272
8419 37 AVENUE NYC,40.7502275,-73.8817708
25 HUDSON STREET NYC,40.7168467,-74.009407
4143 CARMINE STREET NYC,40.730201,-74.003686
22033 NORTHERN BOULEVARD NYC,40.7618344,-73.7607902
222 THOMPSON STREET NYC,40.7290916,-73.9988446
1710 UNIVERSITY AVENUE NYC,40.8483761,-73.9178963
11000 ROCKAWAY BOULEVARD NYC,40.6716795,-73.833452
722 FLATBUSH AVENUE NYC,40.6557719,-73.9601489
13119 ROCKAWAY BLVD NYC,40.67508,-73.806609
121 MONTAGUE STREET NYC,40.6951214,-73.9945212
579 WEST  181 STREET NYC,40.849294,-73.9330888
8512 18 AVENUE NYC,40.6076948,-74.0024531
503 W 57TH ST NYC,40.7694846,-73.9888802
111 MERCER STREET NYC,40.7237675,-73.9995973
105 W 125TH ST NYC,40.8083328,-73.945866
1000 WESTCHESTER AVENUE NYC,40.82346,-73.893409
144 W 4TH ST NYC,40.7311655,-74.0005639
6 STUYVESANT STREET NYC,40.729832,-73.9892798
480 FOREST AVENUE NYC,40.6302631,-74.1062303
11 W 32ND ST NYC,40.7477351,-73.9862098
3848 WHITE PLAINS ROAD NYC,40.8849771,-73.8616522
390 NEPTUNE AVENUE NYC,40.5803481,-73.9670038
101 MAIDEN LANE NYC,40.7070495,-74.0067067
2020 BROADWAY NYC,40.7763869,-73.9817383
360 3 AVENUE NYC,40.7410061,-73.9819149
2785 3 AVENUE NYC,40.805337,-73.9342667
1248 CASTLE HILL AVENUE NYC,40.8332855,-73.8510279
211 EAST   43 STREET NYC,40.7512663,-73.9731576
208 E 165TH ST NYC,40.8299958,-73.9187426
2801 STEINWAY STREET NYC,40.7653024,-73.9136068
347478 EAST TREMONT AVENUE NYC,40.8410515,-73.864427
541 6TH AVE NYC,40.7379105,-73.9968366
1695 PRESIDENT STREET NYC,40.6671534,-73.9309316
224 W 35TH ST NYC,40.7518385,-73.991313
1000 5 AVENUE NYC,40.7791655,-73.9629278
1453 FOREST AVE NYC,40.6245827,-74.1370702
150 GREAVES LANE NYC,40.5540356,-74.1428261
807 8TH AVE NYC,40.7615138,-73.9869309
230 FIFTH AVENUE NYC,40.7441382,-73.9884259
201 PARK AVE S NYC,40.7365984,-73.9885356
3319 36TH AVE NYC,40.75567,-73.927344
1702 STANHOPE STREET NYC,40.7056189,-73.9152346
42-18A JUNCTION BLVD NYC,40.7457079,-73.8683153
676 5 AVENUE NYC,40.7606756,-73.9760854
139 4 AVENUE NYC,40.7336443,-73.9896659
71 MAJOR DEEGAN EXPRESSWAY NYC,40.8949154,-73.8825221
266 CARLTON AVENUE NYC,40.6897474,-73.972166
49 W 20TH ST NYC,40.7410254,-73.9935753
500 W 120TH ST NYC,40.8093788,-73.9599019
213 PARK AVE S NYC,40.7368791,-73.9883197
500 5 AVENUE NYC,40.7539143,-73.9810162
9210 SHORE PARKWAY NYC,40.6648338,-73.8417153
420 WEST 203RD ST NYC,40.8613431,-73.9199875
75 9 AVE NYC,40.7425548,-74.0060838
2082 FREDERICK DOUGLAS BOULEVARD NYC,40.8022181,-73.9566252
11614 QUEENS BOULEVARD NYC,40.7155273,-73.8335275
2880 BROADWAY NYC,40.805478,-73.965225
3702 MAIN STREET NYC,40.7611526,-73.831819
209 WEST   38 STREET NYC,40.7539571,-73.9892718
17 AVENUE B NYC,40.7220197,-73.9832026
101 BARCLAY STREET NYC,40.7144488,-74.0121507
4621 13 AVENUE NYC,40.6361499,-73.9906176
539 KINGS HIGHWAY NYC,40.6046916,-73.9695042
4611 KISSENA BOULEVARD NYC,40.7505452,-73.8185807
725 5 AVENUE NYC,40.7623737,-73.9739119
4319 37 STREET NYC,40.745193,-73.9275075
22205 56 AVENUE NYC,40.7537635,-73.7582425
9301 ASTORIA BOULEVARD NYC,40.7634458,-73.876149
530D CONDUIT BLVD NYC,40.6767397,-73.8697225
115 FEATHERBED LANE NYC,40.8463825,-73.918918
139 E 45TH ST NYC,40.7532719,-73.973911
6409 8TH AVE NYC,40.632923,-74.011871
1715 CORNELIA STREET NYC,40.7004329,-73.905612
3955 VICTORY BOULEVARD NYC,40.5942474,-74.1867064
3005 WHITESTONE EXPRESSWAY NYC,40.7703223,-73.8335566
3271 RICHMOND AVENUE NYC,40.5595366,-74.1682156
3938 BROADWAY NYC,40.838776,-73.9411279
1191 CASTLE HILL AVENUE NYC,40.8316981,-73.8513114
680 ARTHUR KILL ROAD NYC,40.5598468,-74.1638658
2733 8 AVENUE NYC,40.8234033,-73.9418947
1717 BROADWAY NYC,40.7644199,-73.9827504
34 EAST   52 STREET NYC,40.7588164,-73.9745136
703 EAST  180 STREET NYC,40.8481185,-73.8885195
9419 63RD DR NYC,40.7292664,-73.8630946
1580 YORK AVENUE NYC,40.7740392,-73.948178
17235 HILLSIDE AVENUE NYC,40.7122951,-73.7891397
3533 36 STREET NYC,40.7551704,-73.9250616
4755 46 STREET NYC,40.7396163,-73.9192778
1379 HALSEY ST NYC,40.6960055,-73.9054856
859 9TH AVE NYC,40.767238,-73.9866
2114 FLATBUSH AVE NYC,40.6182661,-73.9324872
2888 BROADWAY NYC,40.8055357,-73.9653136
80 WEST KINGSRIDGE ROAD NYC,40.867927,-73.9005185
110 BARROW STREET NYC,40.732037,-74.008558
1315 1ST AVE NYC,40.7669394,-73.9569506
387 VAN DUZER ST NYC,40.628618,-74.079814
1045 FLUSHING AVE NYC,40.7042075,-73.9304942
109 1ST AVE NYC,40.726888,-73.9861439
4255 AMBOY ROAD NYC,40.5476339,-74.1579724
248 MULBERRY STREET NYC,40.723027,-73.9956459
1122 WESTCHESTER AVE NYC,40.8254639,-73.889913
38 WATER STREET NYC,40.7034156,-74.0106735
352 UTICA AVE NYC,40.6659592,-73.9316492
68 LORRAINE ST NYC,40.6743243,-74.0071896
927 8 AVENUE NYC,40.7654447,-73.9841346
6047 MYRTLE AVE NYC,40.7007915,-73.8966995
1787 CONEY ISLAND AVE NYC,40.6138076,-73.9627709
208 WEST   41 STREET NYC,40.755506,-73.9882991
921 RICHMOND AVENUE NYC,40.6248047,-74.1485488
144 WEST   65 STREET NYC,40.7733826,-73.983549
601 WESTCHESTER AVENUE NYC,40.8162811,-73.9106522
5 WEST   32 STREET NYC,40.7476189,-73.9859614
8116 NORTHERN BLVD NYC,40.7552954,-73.8856682
13810 135TH AVE NYC,40.6676621,-73.7994425
4817 VERNON BOULEVARD NYC,40.7435425,-73.9535837
68 EAST BROADWAY NYC,40.7138556,-73.9948717
567 W 125TH ST NYC,40.8156108,-73.957681
445 ALBEE SQUARE WEST NYC,40.6908759,-73.9828655
29 ST MARKS PLACE NYC,40.729066,-73.9883035
360 WEST   46 STREET NYC,40.7605415,-73.9901685
6372 AMBOY ROAD NYC,40.5224915,-74.2164384
3155 BROADWAY NYC,40.8146976,-73.9594833
6302 NEW UTRECHT AVENUE NYC,40.6252894,-73.9975021
10203A 44TH AVENUE NYC,40.7467829,-73.8624591
1471 1 AVENUE NYC,40.7709034,-73.9540669
15 SHEFFIELD AVENUE NYC,40.677545,-73.89785
575 MADISON AVE FL 1ST NYC,40.7617659,-73.9723606
1650 RICHMOND AVE NYC,40.6083576,-74.1635979
3710 30TH AVE NYC,40.7643104,-73.9163555
90 EAST   42 STREET NYC,40.7519289,-73.9776226
170 WEST   23 STREET NYC,40.7436585,-73.9953177
1406 MADISON AVE NYC,40.7881659,-73.9536856
3219 FULTON ST NYC,40.6826739,-73.8762493
