"","Ranking","School Name","US History Score (%)","Global History Score (%)","Averaged Score (%)"
"229",229,"Brooklyn School for Music & Theatre",71,63,67
"230",230,"World Academy for Total Community Health High Scho",76,57,66
"231",231,"Urban Assembly School for the Performing Arts",72,59,66
"232",232,"Urban Assembly Institute of Math and Science for Y",67,65,66
"233",233,"Theatre Arts Production Company School",73,58,66
"234",234,"THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",68,65,66
"235",235,"The Global Learning Collaborative",69,63,66
"236",236,"The Brooklyn Academy of Global Finance",74,57,66
"237",237,"Secondary School for Law",69,62,66
"238",238,"Science Skills Center High School for Science, Tec",68,64,66
"239",239,"School for Excellence",69,63,66
"240",240,"Rockaway Park High School for Environmental Sustai",71,62,66
"241",241,"Ralph R. McKee Career and Technical Education High",69,63,66
"242",242,"Queens Preparatory Academy",71,60,66
"243",243,"Port Richmond High School",72,60,66
"244",244,"Pathways College Preparatory School: A College Boa",72,60,66
"245",245,"NYC Charter High School for Architecture, Engineer",62,69,66
"246",246,"Newtown High School",67,65,66
"247",247,"Leadership and Public Service High School",70,61,66
"248",248,"Law, Government and Community Service High School",72,59,66
"249",249,"Humanities & Arts Magnet High School",74,58,66
"250",250,"Grover Cleveland High School",72,61,66
"251",251,"Frederick Douglass Academy III Secondary School",72,61,66
"252",252,"Eximius College Preparatory Academy: A College Boa",74,59,66
"253",253,"East New York Family Academy",72,61,66
"254",254,"DreamYard Preparatory School",72,61,66
"255",255,"Community Health Academy of the Heights",67,65,66
"256",256,"Clara Barton High School",71,60,66
"257",257,"Brooklyn School for Global Studies",73,59,66
"258",258,"Bronxdale High School",72,60,66
"259",259,"Bronx High School for Writing and Communication Ar",76,57,66
"260",260,"Academy of Medical Technology: A College Board Sch",67,65,66
"261",261,"Transit Tech Career and Technical Education High S",71,59,65
"262",262,"Performing Arts and Technology High School",72,58,65
"263",263,"Park Slope Collegiate",75,55,65
"264",264,"Millennium Art Academy",66,64,65
"265",265,"Metropolitan High School, The",71,59,65
"266",266,"FDNY High School for Fire and Life Safety",69,61,65
"267",267,"Eagle Academy for Young Men",70,60,65
"268",268,"Bronx High School for the Visual Arts",68,62,65
"269",269,"William E. Grady Career and Technical Education Hi",67,61,64
"270",270,"West Bronx Academy for the Future",70,59,64
"271",271,"W. H. Maxwell Career and Technical Education High",69,58,64
"272",272,"Urban Assembly School of Design and Construction,",67,61,64
"273",273,"Urban Assembly School for Wildlife Conservation",70,57,64
"274",274,"The Metropolitan Soundview High School",72,56,64
"275",275,"The Marie Curie School for Medicine, Nursing, and",73,55,64
"276",276,"Sunset Park High School",68,60,64
"277",277,"Secondary School for Journalism",70,57,64
"278",278,"Rockaway Collegiate High School",63,64,64
"279",279,"Richmond Hill High School",63,65,64
"280",280,"Richard R. Green High School of Teaching",69,58,64
"281",281,"New Visions Charter High School for the Humanities",69,59,64
"282",282,"New Explorers High School",72,57,64
"283",283,"Manhattan Theatre Lab High School",66,61,64
"284",284,"Long Island City High School",67,62,64
"285",285,"Life Sciences Secondary School",66,63,64
"286",286,"In-Tech Academy (M.S. / High School 368)",69,58,64
"287",287,"High School for Violin and Dance",70,58,64
"288",288,"High School for Teaching and the Professions",68,59,64
"289",289,"High School for Service & Learning at Erasmus",70,58,64
"290",290,"High School for Innovation in Advertising and Medi",66,62,64
"291",291,"Frances Perkins Academy",71,58,64
"292",292,"Excelsior Preparatory High School",73,56,64
"293",293,"EBC High School for Public Service - Bushwick",66,61,64
"294",294,"Eagle Academy for Young Men II",70,58,64
"295",295,"Choir Academy of Harlem",67,60,64
"296",296,"Cambria Heights Academy",71,58,64
"297",297,"Business, Computer Applications & Entrepreneurship",68,60,64
"298",298,"BUSINESS OF SPORTS SCHOOL",68,60,64
"299",299,"Bushwick School for Social Justice",69,59,64
"300",300,"Bronx Leadership Academy II High School",72,57,64
"301",301,"Bronx High School for Law and Community Service",67,60,64
"302",302,"Bronx Guild",73,55,64
"303",303,"Bronx Collegiate Academy",70,57,64
"304",304,"Bronx Aerospace High School",70,57,64
"305",305,"Bronx Academy of Health Careers",71,58,64
"306",306,"Boys and Girls High School",64,64,64
