"","Ranking","School Name","Averaged Score"
"318",380,"Fordham Leadership Academy for Business and Techno",79
"353",381,"DeWitt Clinton High School",79
"356",382,"Cypress Hills Collegiate Preparatory School",79
"358",383,"Cultural Academy for the Arts and Sciences",79
"367",384,"Cobble Hill School of American Studies",79
"374",385,"Choir Academy of Harlem",79
"378",386,"Celia Cruz Bronx High School of Music, The",79
"408",387,"Bronx Studio School for Writers and Artists",79
"413",388,"Bronx Lighthouse Charter School",79
"449",389,"Bayside High School",79
"456",390,"Automotive High School",79
"459",391,"Arts & Media Preparatory Academy",79
"9",392,"World Academy for Total Community Health High Scho",78
"76",393,"The Bronxwood Preparatory Academy",78
"114",394,"Ralph R. McKee Career and Technical Education High",78
"127",395,"PROGRESS High School for Professional Careers",78
"131",396,"Performing Arts and Technology High School",78
"142",397,"Pablo Neruda Academy",78
"159",398,"Nelson Mandela High School",78
"178",399,"Mathematics, Science Research and Technology Magne",78
"219",400,"John Bowne High School",78
"267",401,"High School for Law, Advocacy and Community Justic",78
"299",402,"George Westinghouse Career and Technical Education",78
"354",403,"Democracy Prep Harlem Charter School",78
"357",404,"Curtis High School",78
"391",405,"Brooklyn School for Global Studies",78
"405",406,"Brooklyn Academy of Science and the Environment",78
"412",407,"Bronx Preparatory Charter School",78
"420",408,"Bronx High School of Business",78
"443",409,"Benjamin Franklin High School for Finance & Inform",78
"444",410,"Benjamin Banneker Academy",78
"465",411,"ACORN Community High School",78
"476",412,"Academy for Young Writers",78
"16",413,"William E. Grady Career and Technical Education Hi",77
"94",414,"School for Tourism and Hospitality",77
"99",415,"School for Democracy and  Leadership",77
"103",416,"Rockaway Collegiate High School",77
"151",417,"New Visions Charter High School for the Humanities",77
"197",418,"Life Sciences Secondary School",77
"203",419,"Law, Government and Community Service High School",77
"212",420,"Kingsborough Early College School",77
"222",421,"James Madison High School",77
"284",422,"Henry Street School for International Studies",77
"293",423,"Grover Cleveland High School",77
"317",424,"Foreign Language Academy of Global Studies",77
"332",425,"Excellence Boys Charter School",77
"348",426,"Eagle Academy for Young Men",77
"395",427,"Brooklyn Lab School",77
"409",428,"Bronx School of Law and Finance",77
"427",429,"Bronx Envision Academy",77
"437",430,"Bronx Aerospace High School",77
"438",431,"Bronx Academy of Health Careers",77
"453",432,"Banana Kelly High School",77
"479",433,"Academy for Scholarship and Entrepreneurship: A Co",77
"17",434,"William Cullen Bryant High School",76
"55",435,"The Urban Assembly School for Green Careers",76
"58",436,"The Urban Assembly School for Collaborative Health",76
"59",437,"The Urban Assembly Bronx Academy of Letters",76
