"","Ranking","School Name","English Score (%)"
"107",107,"Forest Hills High School",79
"108",108,"East-West School of International Studies",79
"109",109,"Brownsville Collegiate Charter School",79
"110",110,"Brooklyn Prospect Charter School",79
"111",111,"Bedford Stuyvesant Collegiate -Uncommon Collegiate",79
"112",112,"Aviation Career & Technical Education High School",79
"113",113,"Academy for Software Engineering",79
"114",114,"Thurgood Marshall Academy for Learning and Social",78
"115",115,"The Brooklyn School for Math and Research",78
"116",116,"Repertory Company High School for Theatre Arts",78
"117",117,"Hostos-Lincoln Academy of Science",78
"118",118,"High School of Economics and Finance",78
"119",119,"High School for Health Professions and Human Servi",78
"120",120,"East New York Family Academy",78
"121",121,"Collegiate Institute for Math and Science",78
"122",122,"Achievement First Bushwick Charter School",78
"123",123,"Williamsburg Preparatory School",77
"124",124,"Urban Assembly Gateway School for Technology",77
"125",125,"University Prep Charter High School",77
"126",126,"Transit Tech Career and Technical Education High S",77
"127",127,"Pelham Preparatory Academy",77
"128",128,"Pelham Lab High School",77
"129",129,"Lower Manhattan Arts Academy",77
"130",130,"Hillside Arts & Letters Academy",77
"131",131,"Harvest Collegiate High School",77
"132",132,"George Washington Carver High School for the Scien",77
"133",133,"Gaynor McCown Expeditionary Learning School",77
"134",134,"Frederick Douglass Academy",77
"135",135,"Fort Hamilton High School",77
"136",136,"Expeditionary Learning School for Community Leader",77
"137",137,"Brooklyn Studio Secondary School",77
"138",138,"Brooklyn High School of the Arts",77
"139",139,"Achievement First Endeavor Charter School",77
"140",140,"Achievement First Crown Heights Charter School",77
"141",141,"Young Women's Leadership School of Brooklyn",76
"142",142,"Urban Assembly School for Wildlife Conservation",76
"143",143,"University Heights Secondary School",76
"144",144,"THE CINEMA SCHOOL",76
"145",145,"Teachers Preparatory High School",76
"146",146,"Summit Academy Charter School",76
"147",147,"Rockaway Park High School for Environmental Sustai",76
"148",148,"Robert F. Wagner, Jr. Secondary School for Arts an",76
"149",149,"Robert F. Kennedy Community High School",76
"150",150,"QUEENS METROPOLITAN HIGH SCHOOL",76
"151",151,"Preparatory Academy for Writers: A College Board S",76
"152",152,"New Design High School",76
"153",153,"MANHATTAN BUSINESS ACADEMY",76
"154",154,"KIPP STAR College Prep Charter School",76
"155",155,"It Takes a Village Academy",76
"156",156,"Harlem Children's Zone Promise Academy 1 Charter S",76
"157",157,"H.E.R.O. High (Health, Education, and Research Occ",76
"158",158,"Gotham Professional Arts Academy",76
"159",159,"Fordham High School for the Arts",76
"160",160,"Dr. Susan S. McKinney Secondary School of the Arts",76
"161",161,"Comprehensive Model School Project M.S. 327",76
"162",162,"Bronx Studio School for Writers and Artists",76
"163",163,"Bronx Lighthouse Charter School",76
"164",164,"Bronx Latin",76
"165",165,"Academy for Young Writers",76
"166",166,"Urban Assembly School of Design and Construction,",75
"167",167,"Urban Assembly School for Applied Math and Science",75
"168",168,"Urban Assembly New York Harbor School",75
"169",169,"Unity Center for Urban Technologies",75
"170",170,"Queens Vocational and Technical High School",75
"171",171,"Queens High School of Teaching, Liberal Arts and t",75
"172",172,"Queens Collegiate: A College Board School",75
"173",173,"Park East High School",75
"174",174,"New Dorp High School",75
"175",175,"M.S. 223 The Laboratory School of Finance and Tech",75
"176",176,"John Bowne High School",75
"177",177,"Eximius College Preparatory Academy: A College Boa",75
"178",178,"East Side Community School",75
"179",179,"City Polytechnic High School of Engineering, Archi",75
"180",180,"Brooklyn School for Global Studies",75
"181",181,"A. Philip Randolph Campus High School",75
"182",182,"Vanguard High School",74
"183",183,"Urban Assembly Institute of Math and Science for Y",74
"184",184,"Urban Assembly Academy of Government and Law, The",74
"185",185,"The Marie Curie School for Medicine, Nursing, and",74
"186",186,"Secondary School for Journalism",74
"187",187,"Renaissance Charter School",74
"188",188,"Performing Arts and Technology High School",74
"189",189,"Mott Hall Bronx High School",74
"190",190,"Mathematics, Science Research and Technology Magne",74
"191",191,"Marble Hill High School for International Studies",74
"192",192,"James Madison High School",74
"193",193,"High School of Hospitality Management",74
"194",194,"High School of Computers and Technology",74
"195",195,"High School of  Telecommunication Arts and Technol",74
"196",196,"High School for Law Enforcement and Public Safety",74
"197",197,"Health Opportunities High School",74
"198",198,"Harlem Village Academy Charter School",74
"199",199,"Curtis High School",74
"200",200,"Brooklyn Secondary School for Collaborative Studie",74
"201",201,"Brooklyn School for Music & Theatre",74
"202",202,"Brooklyn Preparatory High School",74
"203",203,"Bronx School for Law, Government and Justice",74
"204",204,"Bronx High School for Medical Science",74
"205",205,"Belmont Preparatory High School",74
"206",206,"Bayside High School",74
"207",207,"Art and Design High School",74
"208",208,"Urban Assembly School of Business for Young Women,",73
"209",209,"Theatre Arts Production Company School",73
"210",210,"South Bronx Preparatory: A College Board School",73
"211",211,"Renaissance High School for Musical Theater & Tech",73
"212",212,"Mott Haven Village Preparatory High School",73
"213",213,"In-Tech Academy (M.S. / High School 368)",73
"214",214,"Information Technology High School",73
"215",215,"Hyde Leadership Charter School",73
"216",216,"High School for Environmental Studies",73
"217",217,"High School for Arts, Imagination and Inquiry",73
"218",218,"Gramercy Arts High School",73
"219",219,"Franklin Delano Roosevelt High School",73
"220",220,"Clara Barton High School",73
"221",221,"Brooklyn Institute for Liberal Arts",73
"222",222,"Bronx School of Law and Finance",73
"223",223,"Academy for Conservation and the Environment",73
"224",224,"Westchester Square Academy",72
"225",225,"Urban Assembly School for the Performing Arts",72
"226",226,"Urban Assembly School for Careers in Sports",72
"227",227,"Urban Assembly High School of Music and Art",72
"228",228,"The Metropolitan Soundview High School",72
"229",229,"Sunset Park High School",72
"230",230,"School for Tourism and Hospitality",72
"231",231,"School for Legal Studies",72
"232",232,"Richard R. Green High School of Teaching",72
"233",233,"Northside Charter High School",72
"234",234,"Manhattan Bridges High School",72
"235",235,"John W. Lavelle Preparatory Charter School",72
"236",236,"High School for Medical Professions",72
"237",237,"High School for Law, Advocacy and Community Justic",72
"238",238,"Gregorio Luperon High School for Science and Mathe",72
"239",239,"Food and Finance High School",72
"240",240,"El Puente Academy for Peace and Justice",72
"241",241,"Eagle Academy for Young Men II",72
"242",242,"Cultural Academy for the Arts and Sciences",72
"243",243,"Community Health Academy of the Heights",72
"244",244,"Brooklyn High School for Law and Technology",72
"245",245,"Brooklyn Generation School",72
"246",246,"Astor Collegiate Academy",72
"247",247,"Women's Academy of Excellence",71
"248",248,"Wings Academy",71
"249",249,"William Cullen Bryant High School",71
"250",250,"Validus Preparatory Academy: An Expeditionary Lear",71
"251",251,"THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",71
"252",252,"The High School for Enterprise, Business and Techn",71
"253",253,"Schuylerville Preparatory High School",71
"254",254,"School for Human Rights, The",71
"255",255,"Ralph R. McKee Career and Technical Education High",71
"256",256,"New Visions Charter High School for Advanced Math",71
"257",257,"New Utrecht High School",71
"258",258,"Millennium Art Academy",71
"259",259,"Life Sciences Secondary School",71
"260",260,"Leadership and Public Service High School",71
"261",261,"Knowledge and Power Preparatory Academy Internatio",71
"262",262,"Jacqueline Kennedy Onassis High School",71
"263",263,"Hillcrest High School",71
"264",264,"High School for Arts and Business",71
"265",265,"Frederick Douglass Academy IV Secondary School",71
"266",266,"Frederick Douglass Academy III Secondary School",71
"267",267,"FDNY High School for Fire and Life Safety",71
"268",268,"Bronx International High School",71
"269",269,"Bronx Envision Academy",71
"270",270,"Bronx Academy of Health Careers",71
"271",271,"Boys and Girls High School",71
"272",272,"Arts & Media Preparatory Academy",71
"273",273,"Academy for Scholarship and Entrepreneurship: A Co",71
"274",274,"Williamsburg Charter High School",70
"275",275,"Wadleigh Secondary School for the Performing & Vis",70
"276",276,"Union Square Academy for Health Sciences",70
"277",277,"The Urban Assembly Bronx Academy of Letters",70
"278",278,"The Bronxwood Preparatory Academy",70
"279",279,"Pan American International High School at Monroe",70
"280",280,"New Heights Academy Charter School",70
"281",281,"Martin Van Buren High School",70
"282",282,"Humanities & Arts Magnet High School",70
"283",283,"Grover Cleveland High School",70
"284",284,"George Westinghouse Career and Technical Education",70
"285",285,"Excelsior Preparatory High School",70
"286",286,"Essex Street Academy",70
"287",287,"Community School for Social Justice",70
"288",288,"Choir Academy of Harlem",70
"289",289,"Cambria Heights Academy",70
"290",290,"BUSINESS OF SPORTS SCHOOL",70
"291",291,"Bronx Preparatory Charter School",70
"292",292,"Bronx Early College Academy for Teaching & Learnin",70
"293",293,"Bronx Aerospace High School",70
"294",294,"Academy of Innovative Technology",70
"295",295,"Academy for Health Careers",70
"296",296,"Academy for College Preparation and Career Explora",70
"297",297,"West Bronx Academy for the Future",69
"298",298,"University Neighborhood High School",69
"299",299,"The School for Classics: An Academy of Thinkers, W",69
"300",300,"Sheepshead Bay High School",69
"301",301,"School for Excellence",69
"302",302,"PROGRESS High School for Professional Careers",69
"303",303,"Port Richmond High School",69
"304",304,"Pathways in Technology Early College High School (",69
"305",305,"Park Slope Collegiate",69
"306",306,"Newtown High School",69
"307",307,"New Visions Charter High School for the Humanities",69
"308",308,"New Explorers High School",69
"309",309,"Marta Valle High School",69
"310",310,"Lyons Community School",69
"311",311,"Long Island City High School",69
"312",312,"Landmark High School",69
"313",313,"Kurt Hahn Expeditionary Learning School",69
"314",314,"John Dewey High School",69
"315",315,"International School for Liberal Arts",69
"316",316,"International High School at LaGuardia Community C",69
"317",317,"High School for Violin and Dance",69
"318",318,"High School for Teaching and the Professions",69
"319",319,"High School for Law and Public Service",69
"320",320,"Harry S Truman High School",69
"321",321,"Frederick Douglass Academy VI High School",69
"322",322,"EBC High School for Public Service - Bushwick",69
"323",323,"Eagle Academy for Young Men",69
"324",324,"DreamYard Preparatory School",69
"325",325,"Business, Computer Applications & Entrepreneurship",69
"326",326,"Bushwick School for Social Justice",69
"327",327,"Brooklyn Community High School of Communication, A",69
"328",328,"Brooklyn Collegiate: A College Board School",69
"329",329,"Bronx Lab School",69
"330",330,"Bronx High School for the Visual Arts",69
"331",331,"Antonia Pantoja Preparatory Academy: A College Boa",69
"332",332,"Alfred E. Smith Career and Technical Education Hig",69
"333",333,"Urban Assembly School for Media Studies, The",68
"334",334,"Urban Action Academy",68
"335",335,"The Uft Charter School",68
"336",336,"Science Skills Center High School for Science, Tec",68
"337",337,"Richmond Hill High School",68
"338",338,"Queens Preparatory Academy",68
"339",339,"Murry Bergtraum High School for Business Careers",68
"340",340,"Mott Hall High School",68
"341",341,"Middle College High School at LaGuardia Community",68
"342",342,"Law, Government and Community Service High School",68
"343",343,"John Adams High School",68
"344",344,"High School for Service & Learning at Erasmus",68
"345",345,"High School for Innovation in Advertising and Medi",68
"346",346,"Frederick Douglass Academy II Secondary School",68
"347",347,"Foreign Language Academy of Global Studies",68
"348",348,"Fordham Leadership Academy for Business and Techno",68
"349",349,"Flushing High School",68
"350",350,"Cobble Hill School of American Studies",68
"351",351,"Brooklyn Theatre Arts High School",68
"352",352,"Brooklyn Academy of Science and the Environment",68
"353",353,"Bronx High School for Writing and Communication Ar",68
"354",354,"Bronx Design and Construction Academy",68
"355",355,"Academy of Medical Technology: A College Board Sch",68
"356",356,"Academy for Language and Technology",68
"357",357,"Victory Collegiate High School",67
"358",358,"The Urban Assembly School for Green Careers",67
"359",359,"The Global Learning Collaborative",67
