"","Ranking","School Name","Averaged Score (%)"
"319",319,"School for Tourism and Hospitality",82
"320",320,"School for Excellence",82
"321",321,"Riverdale / Kingsbridge Academy (Middle School / H",82
"322",322,"New Utrecht High School",82
"323",323,"Mott Hall High School",82
"324",324,"Manhattan International High School",82
"325",325,"Long Island City High School",82
"326",326,"Leadership and Public Service High School",82
"327",327,"Information Technology High School",82
"328",328,"High School of Economics and Finance",82
"329",329,"High School for Service & Learning at Erasmus",82
"330",330,"Heritage School, The",82
"331",331,"Frederick Douglass Academy",82
"332",332,"Forest Hills High School",82
"333",333,"Fordham Leadership Academy for Business and Techno",82
"334",334,"Explorations Academy",82
"335",335,"ESPERANZA PREPARATORY ACADEMY",82
"336",336,"Celia Cruz Bronx High School of Music, The",82
"337",337,"BUSINESS OF SPORTS SCHOOL",82
"338",338,"Bronx Academy of Health Careers",82
"339",339,"Boys and Girls High School",82
"340",340,"Benjamin Banneker Academy",82
"341",341,"Bayside High School",82
"342",342,"Academy of Medical Technology: A College Board Sch",82
"343",343,"Academy for Health Careers",82
"344",344,"Abraham Lincoln High School",82
"345",345,"47 The American Sign Language and English Secondar",82
"346",346,"Secondary School for Journalism",81
"347",347,"Renaissance Charter High School for Innovation",81
"348",348,"Queens Preparatory Academy",81
"349",349,"Queens High School of Teaching, Liberal Arts and t",81
"350",350,"Queens Collegiate: A College Board School",81
"351",351,"MANHATTAN BUSINESS ACADEMY",81
"352",352,"M.S. 223 The Laboratory School of Finance and Tech",81
"353",353,"High School of World Cultures",81
"354",354,"High School for Media and Communications",81
"355",355,"Gotham Professional Arts Academy",81
"356",356,"George Westinghouse Career and Technical Education",81
"357",357,"Dr. Susan S. McKinney Secondary School of the Arts",81
"358",358,"Wadleigh Secondary School for the Performing & Vis",80
"359",359,"Urban Assembly High School of Music and Art",80
"360",360,"The Urban Assembly School for Green Careers",80
"361",361,"Quest to Learn",80
"362",362,"Mott Haven Village Preparatory High School",80
"363",363,"Midwood High School",80
"364",364,"Mathematics, Science Research and Technology Magne",80
"365",365,"Leon M. Goldstein High School for the Sciences",80
"366",366,"High School for Innovation in Advertising and Medi",80
