"","DBN","School Name","Average Score ACT Math","Percentage of 4-year Cohort Taking ACT Math","Percentage College Ready ACT Math","Average Score ACT English","Percentage of 4-year Cohort Taking ACT English","Percentage College Ready ACT English","Average Score ACT Reading","Percentage of 4-year Cohort Taking ACT Reading","Average Score ACT Science","Percentage of 4-year Cohort Taking ACT Science"
"87","22K495","Sheepshead Bay High School","16","0.126","1","13","0.126","1",NA,"0","17","0.126"
"88","15K462","Secondary School for Law",NA,"0.012","0",NA,"0.012","0",NA,"0.012",NA,"0.012"
"89","15K463","Secondary School for Journalism",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"90","17K543","Science, Technology and Research Early College Hig",NA,"0.07","1",NA,"0.07","1",NA,"0.07",NA,"0.07"
"91","13K419","Science Skills Center High School for Science, Tec",NA,"0.066","0",NA,"0.066","1",NA,"0.044",NA,"0.066"
"92","08X348","Schuylerville Preparatory High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","02M413","School of the Future High School","22","0.169","1","22","0.169","1",NA,"0.112","22","0.169"
"94","08X559","School for Tourism and Hospitality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","14K477","School for Legal Studies",NA,"0.006","0",NA,"0.006","0",NA,"0.006",NA,"0.006"
"96","15K497","School for International Studies",NA,"0.143","1",NA,"0.143","1",NA,"0.032",NA,"0.143"
"97","17K531","School for Human Rights, The",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"98","09X404","School for Excellence",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"99","17K533","School for Democracy and  Leadership",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"100","27Q323","Scholars' Academy","25","0.398","1","24","0.398","1","25","0.297","25","0.398"
"101","07X655","Samuel Gompers Career and Technical Education High",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"102","27Q324","Rockaway Park High School for Environmental Sustai",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
