"","Ranking","School Name","Averaged Score - all subjects (%)"
"293",293,"International High School at LaGuardia Community C",NA
"294",294,"International High School at Lafayette",NA
"295",295,"International Community High School",NA
"296",296,"International Arts Business School",NA
"297",297,"In-Tech Academy (M.S. / High School 368)",NA
"298",298,"Institute for Health Professions at Cambria Height",NA
"299",299,"Institute for Collaborative Education",NA
"300",300,"Humanities & Arts Magnet High School",NA
"301",301,"Hudson High School of Learning Technologies",NA
"302",302,"Holcombe L. Rucker School of Community Research",NA
"303",303,"Hillside Arts & Letters Academy",NA
"304",304,"High School of World Cultures",NA
"305",305,"High School of Sports Management",NA
"306",306,"High School of Language and Innovation",NA
"307",307,"High School of Hospitality Management",NA
"308",308,"High School of Graphic Communication Arts",NA
"309",309,"High School of Computers and Technology",NA
"310",310,"High School of Arts and Technology",NA
"311",311,"High School for Youth and Community Development at",NA
"312",312,"High School for Violin and Dance",NA
"313",313,"High School for Teaching and the Professions",NA
"314",314,"High School for Service & Learning at Erasmus",NA
"315",315,"High School for Medical Professions",NA
"316",316,"High School for Media and Communications",NA
"317",317,"High School for Law, Advocacy and Community Justic",NA
"318",318,"High School for Law Enforcement and Public Safety",NA
"319",319,"High School for Innovation in Advertising and Medi",NA
"320",320,"High School for Health Careers and Sciences",NA
"321",321,"High School for Energy and Technology",NA
"322",322,"High School for Contemporary Arts",NA
"323",323,"High School for Civil Rights",NA
"324",324,"High School for Arts, Imagination and Inquiry",NA
"325",325,"Heritage School, The",NA
"326",326,"Henry Street School for International Studies",NA
"327",327,"Health Opportunities High School",NA
"328",328,"Harvest Collegiate High School",NA
"329",329,"Harry S Truman High School",NA
"330",330,"Harlem Village Academy Leadership Charter School",NA
"331",331,"Harlem Village Academy Charter School",NA
"332",332,"Harlem Children's Zone Promise Academy II Charter",NA
"333",333,"Harlem Children's Zone Promise Academy 1 Charter S",NA
"334",334,"H.E.R.O. High (Health, Education, and Research Occ",NA
"335",335,"Green School: An Academy for Environmental Careers",NA
"336",336,"Gramercy Arts High School",NA
"337",337,"Grace Dodge Career and Technical Education High Sc",NA
"338",338,"Gotham Professional Arts Academy",NA
"339",339,"George Westinghouse Career and Technical Education",NA
"340",340,"George Washington Carver High School for the Scien",NA
"341",341,"Gaynor McCown Expeditionary Learning School",NA
"342",342,"Gateway School for Environmental Research and Tech",NA
"343",343,"Frederick Douglass Academy VII High School",NA
"344",344,"Frederick Douglass Academy VI High School",NA
"345",345,"Frederick Douglass Academy IV Secondary School",NA
"346",346,"Frederick Douglass Academy III Secondary School",NA
"347",347,"Frederick Douglass Academy II Secondary School",NA
"348",348,"FRANK McCOURT HIGH SCHOOL",NA
"349",349,"Frances Perkins Academy",NA
"350",350,"Foundations Academy",NA
"351",351,"Foreign Language Academy of Global Studies",NA
"352",352,"Fordham Leadership Academy for Business and Techno",NA
"353",353,"Food and Finance High School",NA
"354",354,"Flushing International High School",NA
