School Name,Graduation Rate,Post-secondary Enrollment Rate,Teacher experience,Rigorous Instruction,Collaborative Teachers,Supportive Environment ,Effective School Leadership,Strong Family-Community Ties,Trust
Rachel Carson High School for Coastal Studies,0.84,0.73,0.81,0.58,0.70,0.61,0.69,0.60,0.81
Quest to Learn,0.00,0.00,0.45,0.57,0.61,0.64,0.54,0.66,0.58
Queens Vocational and Technical High School,0.80,0.72,0.84,0.70,0.89,0.77,0.70,0.53,0.72
"Queens School of Inquiry, The",0.93,0.91,0.86,0.62,0.56,0.78,0.66,0.53,0.68
Queens Preparatory Academy,0.76,0.50,0.69,0.00,0.00,0.61,0.00,0.00,0.00
QUEENS METROPOLITAN HIGH SCHOOL,0.92,0.00,0.78,0.74,0.86,0.78,0.75,0.58,0.72
"Queens High School of Teaching, Liberal Arts and t",0.91,0.82,0.78,0.74,0.59,0.72,0.57,0.59,0.62
Queens High School for the Sciences at York Colleg,0.98,0.93,0.92,0.67,0.75,0.00,0.78,0.49,0.73
Queens High School for Language Studies,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00
"Queens High School for Information, Research, and",0.55,0.36,0.68,0.50,0.78,0.66,0.84,0.75,0.75
Queens Gateway to Health Sciences Secondary School,0.98,0.98,0.88,0.78,0.62,0.80,0.20,0.33,0.30
Queens Collegiate: A College Board School,0.78,0.75,0.58,0.61,0.52,0.66,0.50,0.45,0.53
PROGRESS High School for Professional Careers,0.68,0.47,0.68,0.83,0.90,0.70,0.67,0.79,0.59
Professional Performing Arts High School,0.98,0.73,0.83,0.68,0.68,0.63,0.74,0.54,0.72
Preparatory Academy for Writers: A College Board S,0.76,0.63,0.73,0.81,0.92,0.87,0.89,0.74,0.78
Port Richmond High School,0.64,0.54,0.91,0.68,0.70,0.65,0.74,0.63,0.74
Performing Arts and Technology High School,0.69,0.46,0.83,0.62,0.72,0.54,0.75,0.68,0.66
Pelham Preparatory Academy,0.86,0.86,0.73,0.65,0.73,0.83,0.66,0.48,0.77
Pelham Lab High School,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00
Peace and Diversity Academy,0.29,0.30,0.94,0.45,0.54,0.46,0.60,0.65,0.69
Pathways in Technology Early College High School (,0.72,0.00,0.79,0.67,0.68,0.87,0.74,0.62,0.68
Pathways College Preparatory School: A College Boa,0.70,0.68,0.80,0.59,0.66,0.73,0.57,0.56,0.57
Park Slope Collegiate,0.65,0.46,0.72,0.85,0.92,0.78,0.87,0.70,0.81
Park East High School,0.97,0.63,0.89,0.56,0.78,0.83,0.81,0.60,0.87
Pan American International High School at Monroe,0.88,0.55,0.63,0.95,0.94,0.89,0.87,0.95,0.86
Pan American International High School,0.76,0.39,0.28,0.52,0.70,0.70,0.56,0.90,0.75
Pace High School,0.88,0.82,1.00,0.78,0.87,0.82,0.73,0.54,0.75
Pablo Neruda Academy,0.59,0.37,0.63,0.44,0.74,0.65,0.82,0.66,0.79
Origins High School,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00
Ocean Hill Collegiate Charter School,0.00,0.00,0.00,0.84,0.81,0.73,0.85,0.89,0.78
NYC iSchool,0.99,0.83,0.93,0.84,0.93,0.82,0.86,0.72,0.88
"NYC Charter High School for Architecture, Engineer",0.87,0.53,0.00,0.48,0.74,0.72,0.76,0.57,0.75
Northside Charter High School,0.75,0.76,0.00,0.53,0.78,0.80,0.62,0.42,0.72
Newtown High School,0.59,0.51,0.84,0.70,0.92,0.82,0.75,0.52,0.78
Newcomers High School,0.72,0.62,0.85,0.90,0.84,0.81,0.54,0.60,0.69
New World High School,0.88,0.77,0.58,0.84,0.91,0.78,0.61,0.54,0.74
New Visions Charter High School for the Humanities,0.72,0.00,0.00,0.41,0.73,0.59,0.72,0.81,0.74
New Visions Charter High School for Advanced Math,0.91,0.00,0.00,0.64,0.78,0.64,0.78,0.49,0.70
New Utrecht High School,0.74,0.62,0.86,0.51,0.67,0.68,0.59,0.38,0.63
New Heights Academy Charter School,0.89,0.76,0.00,0.58,0.75,0.73,0.59,0.63,0.68
New Explorers High School,0.58,0.41,0.78,0.00,0.00,0.61,0.00,0.00,0.00
"New Explorations into Science, Technology and Math",0.98,0.93,0.60,0.80,0.50,0.79,0.20,0.45,0.37
New Dorp High School,0.77,0.61,0.78,0.81,0.90,0.79,0.80,0.53,0.76
New Design High School,0.75,0.62,0.74,0.64,0.82,0.76,0.58,0.53,0.82
Nelson Mandela High School,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
N.Y.C. Museum School,1.00,0.90,0.96,0.66,0.58,0.77,0.25,0.36,0.54
N.Y.C. Lab School for Collaborative Studies,0.96,0.93,0.81,0.80,0.90,0.82,0.78,0.72,0.84
Murry Bergtraum High School for Business Careers,0.48,0.50,0.77,0.44,0.38,0.46,0.24,0.00,0.00
Multicultural High School,0.54,0.33,0.82,0.54,0.73,0.57,0.62,0.74,0.82
Mott Haven Village Preparatory High School,0.45,0.42,0.65,0.43,0.60,0.60,0.50,0.71,0.68
Mott Hall V,0.83,0.00,0.43,0.78,0.84,0.81,0.63,0.53,0.82
Mott Hall High School,0.69,0.64,0.73,0.47,0.62,0.64,0.50,0.79,0.62
Mott Hall Bronx High School,0.80,0.79,0.37,0.57,0.66,0.75,0.59,0.65,0.72
Morris Academy for Collaborative Studies,0.65,0.46,0.83,0.83,0.78,0.62,0.76,0.59,0.66
Monroe Academy for Visual Arts & Design,0.52,0.36,0.93,0.42,0.51,0.49,0.57,0.53,0.54
Millennium High School,1.00,0.92,0.82,0.61,0.70,0.75,0.66,0.51,0.69
Millennium Brooklyn HS,0.95,0.00,0.49,0.71,0.77,0.69,0.86,0.69,0.83
Millennium Art Academy,0.61,0.53,0.81,0.47,0.69,0.64,0.71,0.63,0.80
Midwood High School,0.91,0.82,0.89,0.66,0.60,0.68,0.42,0.37,0.54
Middle College High School at LaGuardia Community,0.66,0.74,1.00,0.74,0.57,0.72,0.70,0.58,0.82
"Metropolitan High School, The",0.65,0.63,0.77,0.44,0.54,0.63,0.62,0.59,0.71
Metropolitan Expeditionary Learning School,0.00,0.00,0.50,0.73,0.94,0.82,0.86,0.70,0.78
Medgar Evers College Preparatory School,0.95,0.79,0.82,0.82,0.70,0.73,0.65,0.00,0.00
"Mathematics, Science Research and Technology Magne",0.65,0.62,0.67,0.54,0.45,0.64,0.50,0.50,0.55
"Math, Engineering, and Science Academy Charter Hig",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maspeth High School,0.97,0.00,0.17,0.58,0.68,0.74,0.64,0.52,0.58
Martin Van Buren High School,0.55,0.53,0.96,0.46,0.63,0.54,0.58,0.53,0.56
Marta Valle High School,0.48,0.30,0.69,0.50,0.55,0.46,0.42,0.49,0.49
Marble Hill High School for International Studies,0.91,0.83,0.90,0.81,0.85,0.86,0.65,0.58,0.81
Manhattan Village Academy,0.98,0.93,0.59,0.90,0.86,0.92,0.73,0.74,0.68
Manhattan Theatre Lab High School,0.55,0.51,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Manhattan International High School,0.73,0.70,0.91,0.84,0.74,0.83,0.54,0.62,0.62
Manhattan Early College School for Advertising,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00
Manhattan Center for Science and Mathematics,0.95,0.85,0.78,0.85,0.74,0.76,0.61,0.38,0.58
MANHATTAN BUSINESS ACADEMY,0.87,0.72,0.71,0.84,0.77,0.70,0.68,0.48,0.54
Manhattan Bridges High School,0.94,0.72,0.91,0.94,0.87,0.88,0.72,0.71,0.80
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,0.54,0.00,0.54,0.70,0.78,0.58,0.76,0.69,0.73
Manhattan / Hunter Science High School,0.99,0.92,0.89,0.88,0.73,0.87,0.79,0.47,0.74
M.S. 223 The Laboratory School of Finance and Tech,0.00,0.00,0.50,0.78,0.71,0.83,0.48,0.55,0.58
Lyons Community School,0.65,0.46,0.69,0.59,0.78,0.61,0.82,0.82,0.80
Lower Manhattan Arts Academy,0.67,0.73,0.74,0.63,0.69,0.74,0.81,0.63,0.74
Long Island City High School,0.65,0.55,0.94,0.68,0.84,0.68,0.58,0.37,0.62
Life Sciences Secondary School,0.81,0.57,0.74,0.64,0.58,0.54,0.38,0.30,0.41
Life Academy High School for Film and Music,0.95,0.56,0.67,0.84,0.98,0.83,0.96,0.98,0.95
Leon M. Goldstein High School for the Sciences,0.99,0.94,0.87,0.66,0.85,0.81,0.38,0.00,0.00
Legacy School for Integrated Studies,0.65,0.39,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Leadership Institute,0.28,0.38,0.63,0.58,0.70,0.48,0.51,0.87,0.80
Leadership and Public Service High School,0.64,0.55,0.73,0.68,0.62,0.69,0.71,0.62,0.71
"Law, Government and Community Service High School",0.64,0.43,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Landmark High School,0.52,0.47,0.68,0.66,0.69,0.61,0.72,0.70,0.78
Kurt Hahn Expeditionary Learning School,0.76,0.59,0.83,0.71,0.83,0.86,0.62,0.82,0.72
Knowledge and Power Preparatory Academy Internatio,0.79,0.74,0.40,0.83,0.94,0.77,0.82,0.67,0.80
KIPP STAR College Prep Charter School,0.90,0.86,0.00,0.64,0.76,0.67,0.79,0.75,0.78
KIPP Infinity Charter School,0.83,0.96,0.00,0.84,0.88,0.84,0.86,0.83,0.86
KIPP AMP Charter School,1.00,0.77,0.00,0.58,0.57,0.63,0.55,0.54,0.70
KIPP Academy Charter School,0.95,0.94,0.00,0.56,0.71,0.73,0.70,0.70,0.72
Kingsbridge International High School,0.66,0.50,0.92,0.46,0.69,0.65,0.70,0.66,0.78
Kingsborough Early College School,0.94,0.90,0.71,0.93,0.97,0.63,0.86,0.50,0.70
Kings Collegiate Charter School,0.90,0.00,0.00,0.59,0.75,0.84,0.81,0.82,0.86
Khalil Gibran International Academy,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
Juan Morel Campos Secondary School,0.48,0.40,0.74,0.67,0.74,0.63,0.77,0.62,0.74
Jonathan Levin High School for Media and Communica,0.41,0.26,1.00,0.00,0.00,0.00,0.00,0.00,0.00
John W. Lavelle Preparatory Charter School,0.00,0.00,0.00,0.68,0.88,0.76,0.84,0.66,0.79
John Dewey High School,0.70,0.68,0.65,0.53,0.57,0.65,0.50,0.35,0.43
John Bowne High School,0.70,0.61,0.84,0.66,0.88,0.66,0.60,0.39,0.54
John Adams High School,0.62,0.44,0.80,0.52,0.60,0.57,0.54,0.43,0.51
Jane Addams High School for Academic Careers,0.56,0.36,1.00,0.00,0.00,0.00,0.00,0.00,0.00
James Madison High School,0.81,0.73,0.87,0.54,0.73,0.75,0.78,0.51,0.65
Jamaica Gateway to the Sciences,0.90,0.85,0.47,0.70,0.77,0.78,0.83,0.51,0.83
Jacqueline Kennedy Onassis High School,0.63,0.54,0.74,0.53,0.66,0.54,0.42,0.57,0.46
J.H.S. 157 Stephen A. Halsey,0.00,0.00,0.65,0.91,0.87,0.74,0.73,0.50,0.71
It Takes a Village Academy,0.92,0.83,0.82,0.86,0.92,0.84,0.83,0.93,0.76
Inwood Early College for Health and Information Te,0.00,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00
International School for Liberal Arts,0.67,0.59,0.81,0.65,0.91,0.75,0.75,0.75,0.78
International Leadership Charter High School,0.93,0.96,0.00,0.86,0.73,0.67,0.56,0.46,0.51
International High School for Health Sciences,0.00,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00
International High School at Union Square,0.54,0.00,0.76,0.50,0.75,0.60,0.77,0.73,0.77
International High School at Prospect Heights,0.69,0.52,0.88,0.84,0.90,0.70,0.59,0.76,0.78
International High School at LaGuardia Community C,0.85,0.79,0.80,0.84,0.98,0.90,0.90,0.93,0.93
International High School at Lafayette,0.77,0.51,0.63,0.66,0.68,0.69,0.53,0.53,0.66
International Community High School,0.57,0.30,0.71,0.65,0.79,0.66,0.86,0.85,0.93
International Arts Business School,0.67,0.46,1.00,0.00,0.00,0.00,0.00,0.00,0.00
In-Tech Academy (M.S. / High School 368),0.84,0.67,0.76,0.51,0.52,0.66,0.37,0.43,0.57
Institute for Health Professions at Cambria Height,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00
Institute for Collaborative Education,0.93,0.91,0.70,0.94,0.99,0.80,0.95,0.94,0.92
Information Technology High School,0.78,0.63,0.89,0.53,0.65,0.64,0.59,0.54,0.66
Hyde Leadership Charter School,0.91,0.91,0.00,0.54,0.64,0.76,0.62,0.74,0.70
Humanities & Arts Magnet High School,0.76,0.65,0.90,0.55,0.56,0.61,0.54,0.53,0.50
Hudson High School of Learning Technologies,0.73,0.00,0.54,0.66,0.90,0.57,0.83,0.60,0.76
Hostos-Lincoln Academy of Science,0.83,0.71,0.81,0.57,0.46,0.57,0.43,0.61,0.62
Holcombe L. Rucker School of Community Research,0.59,0.37,0.82,0.48,0.77,0.68,0.70,0.60,0.73
Hillside Arts & Letters Academy,0.81,0.00,0.59,0.65,0.79,0.78,0.85,0.62,0.86
Hillcrest High School,0.76,0.68,0.85,0.85,0.90,0.89,0.85,0.95,0.93
High School of World Cultures,0.56,0.38,0.78,0.60,0.63,0.55,0.56,0.71,0.59
High School of Sports Management,0.71,0.51,0.70,0.57,0.70,0.62,0.70,0.74,0.74
High School of Language and Innovation,0.73,0.00,0.40,0.63,0.94,0.61,0.84,0.84,0.75
High School of Hospitality Management,0.82,0.58,0.86,0.69,0.92,0.67,0.77,0.58,0.73
High School of Graphic Communication Arts,0.46,0.45,0.97,0.00,0.00,0.00,0.00,0.00,0.00
High School of Economics and Finance,0.74,0.75,0.88,0.74,0.62,0.63,0.62,0.45,0.60
High School of Computers and Technology,0.77,0.66,0.88,0.84,0.89,0.85,0.72,0.58,0.83
High School of Arts and Technology,0.64,0.51,0.86,0.38,0.36,0.38,0.24,0.00,0.00
High School of Applied Communication,0.82,0.60,0.92,0.80,0.91,0.76,0.79,0.62,0.78
High School of American Studies at Lehman College,0.99,0.99,0.96,0.81,0.92,0.90,0.89,0.67,0.89
High School of  Telecommunication Arts and Technol,0.88,0.81,0.70,0.00,0.00,0.00,0.79,0.62,0.82
High School for Youth and Community Development at,0.80,0.52,0.86,0.74,0.86,0.81,0.69,0.74,0.74
High School for Violin and Dance,0.66,0.42,0.70,0.47,0.50,0.41,0.43,0.56,0.51
High School for Teaching and the Professions,0.59,0.58,0.85,0.51,0.77,0.78,0.85,0.86,0.78
High School for Service & Learning at Erasmus,0.69,0.55,0.74,0.62,0.66,0.64,0.68,0.70,0.65
High School for Public Service: Heroes  of Tomorro,0.96,0.85,0.96,0.69,0.78,0.74,0.80,0.66,0.83
High School for Medical Professions,0.95,0.76,0.68,0.74,0.87,0.77,0.74,0.60,0.60
High School for Media and Communications,0.55,0.46,0.79,0.54,0.60,0.62,0.42,0.68,0.59
"High School for Mathematics, Science and Engineeri",0.98,0.96,0.97,0.93,0.89,0.83,0.80,0.62,0.72
"High School for Law, Advocacy and Community Justic",0.73,0.57,0.74,0.83,0.89,0.60,0.66,0.54,0.54
