"","school.name","lat","lon","addr","zipcode"
"1","Young Women's Leadership School, Queens",40.7083678,-73.8040135,"150-91 87th Rd, Jamaica, NY 11432, USA",11432
"2","Young Women's Leadership School, Astoria",40.7712552,-73.924167,"23-15 Newtown Ave, Astoria, NY 11102, USA",11102
"3","Young Women's Leadership School of Brooklyn",40.7049715,-73.9389751,"325 Bushwick Ave, Brooklyn, NY 11206, USA",11206
"4","Young Women's Leadership School",40.792935,-73.9471679,"105 E 106th St #9, New York, NY 10029, USA",10029
"5","York Early College Academy",40.697102,-73.7865575,"108-35 167th St, Jamaica, NY 11433, USA",11433
"6","World View High School",40.8813441,-73.8872867,"100 W Mosholu Pkwy S, Bronx, NY 10468, USA",10468
"7","World Journalism Preparatory: A College Board Scho",40.7648343,-73.7897125,"34-65 192nd St, Flushing, NY 11358, USA",11358
"8","World Academy for Total Community Health High Scho",40.6668454,-73.8952889,"400 Pennsylvania Ave, Brooklyn, NY 11207, USA",11207
"9","Women's Academy of Excellence",40.8149607,-73.8560605,"456 White Plains Rd, Bronx, NY 10473, USA",10473
"10","Wings Academy",40.8416248,-73.8751818,"1122 E 180th St, Bronx, NY 10460, USA",10460
"11","Williamsburg Preparatory School",40.715345,-73.9547924,"257 N 6th St, Brooklyn, NY 11211, USA",11211
"12","Williamsburg High School for Architecture and Desi",40.7154923,-73.9550398,"257 N 6th St, Brooklyn, NY 11211, USA",11211
"13","Williamsburg Collegiate Charter School",40.7059027,-73.9620195,"157 Wilson St, Brooklyn, NY 11211, USA",11211
"14","Williamsburg Charter High School",40.7035099,-73.9358033,"198 Varet St, Brooklyn, NY 11206, USA",11206
"15","William E. Grady Career and Technical Education Hi",40.5832553,-73.9634295,"25 Brighton 4th Rd, Brooklyn, NY 11235, USA",11235
"16","William Cullen Bryant High School",40.757456,-73.9106198,"4810 31st Ave, Long Island City, NY 11103, USA",11103
"17","Westchester Square Academy",40.8400627,-73.838045,"3000 E Tremont Ave, Bronx, NY 10461, USA",10461
"18","West Bronx Academy for the Future",40.8595423,-73.8885964,"500 E Fordham Rd, Bronx, NY 10458, USA",10458
"19","Washington Irving High School",40.7355487,-73.9874908,"40 Irving Pl, New York, NY 10003, USA",10003
"20","Washington Heights Expeditionary Learning School",40.8490987,-73.9311063,"511 W 182nd St, New York, NY 10033, USA",10033
"21","Wadleigh Secondary School for the Performing & Vis",40.8025744,-73.9541403,"215 W 114th St, New York, NY 10026, USA",10026
"22","W. H. Maxwell Career and Technical Education High",40.6738562,-73.8961578,"145 Pennsylvan Ave, Brooklyn, NY 11207, USA",11207
"23","Victory Collegiate High School",40.6335392,-73.9174421,"6565 Flatlands Ave, Brooklyn, NY 11236, USA",11236
"24","Veritas Academy",40.7650103,-73.8268537,"35-01 Union St, Flushing, NY 11354, USA",11354
"25","Vanguard High School",40.7653683,-73.9596962,"317 E 67th St, New York, NY 10065, USA",10065
"26","Validus Preparatory Academy: An Expeditionary Lear",40.8394126,-73.9019033,"1595 Bathgate Ave, Bronx, NY 10457, USA",10457
"27","Urban Assembly School of Design and Construction,",40.765536,-73.993163,"525 W 50th St, New York, NY 10019, USA",10019
"28","Urban Assembly School of Business for Young Women,",40.7054423,-74.0128882,"26 Broadway, New York, NY 10004, USA",10004
"29","Urban Assembly School for Wildlife Conservation",40.8439832,-73.8844851,"2024 Mohegan Ave, Bronx, NY 10460, USA",10460
"30","Urban Assembly School for the Performing Arts",40.8157451,-73.9556,"509 W 129th St, New York, NY 10027, USA",10027
"31","Urban Assembly School for Media Studies, The",40.7747793,-73.98472,"122 Amsterdam Ave, New York, NY 10023, USA",10023
"32","Urban Assembly School for Criminal Justice",40.634902,-73.9824061,"4200 16th Ave, Brooklyn, NY 11204, USA",11204
"33","Urban Assembly School for Careers in Sports",40.8225735,-73.9235453,"730 Concourse Village W, Bronx, NY 10451, USA",10451
"34","Urban Assembly School for Applied Math and Science",40.8394571,-73.9018947,"1595 Bathgate Ave, Bronx, NY 10457, USA",10457
"35","Urban Assembly New York Harbor School",40.6907422,-74.0205672,"550 Short Ave, Brooklyn, NY 11231, USA",11231
"36","Urban Assembly Maker Academy",40.7110242,-74.0016572,"411 Pearl St #417, New York, NY 10038, USA",10038
"37","Urban Assembly Institute of Math and Science for Y",40.6946578,-73.9883234,"283 Adams St, Brooklyn, NY 11201, USA",11201
"38","Urban Assembly High School of Music and Art",40.697313,-73.9846925,"49 Flatbush Ave Ext, Brooklyn, NY 11201, USA",11201
"39","Urban Assembly Gateway School for Technology",40.7639937,-73.9904866,"439 W 49th St, New York, NY 10019, USA",10019
"40","Urban Assembly Academy of Government and Law, The",40.717321,-73.989323,"350 Grand St, New York, NY 10002, USA",10002
"41","Urban Action Academy",40.640423,-73.8984517,"1600 Rockaway Pkwy, Brooklyn, NY 11236, USA",11236
"42","University Prep Charter High School",40.8145265,-73.9123068,"600 St Ann's Ave, Bronx, NY 10455, USA",10455
"43","University Neighborhood High School",40.71226,-73.9838742,"200 Monroe St, New York, NY 10002, USA",10002
"44","University Heights Secondary School",40.8181071,-73.9114331,"701 St Ann's Ave, Bronx, NY 10455, USA",10455
"45","Unity Center for Urban Technologies",40.7241219,-74.0051608,"121 6th Ave, New York, NY 10013, USA",10013
"46","Union Square Academy for Health Sciences",40.7354911,-73.9874171,"40 Irving Pl, New York, NY 10003, USA",10003
"47","Transit Tech Career and Technical Education High S",40.678748,-73.8752132,"1 Wells St, Brooklyn, NY 11208, USA",11208
"48","Townsend Harris High School",40.7349867,-73.821365,"149-11 Melbourne Ave, Flushing, NY 11367, USA",11367
"49","Tottenville High School",40.5278857,-74.1932553,"100 Luten Ave, Staten Island, NY 10312, USA",10312
"50","Thurgood Marshall Academy for Learning and Social",40.8152252,-73.9443209,"200-214 W 135th St, New York, NY 10030, USA",10030
"51","Thomas A. Edison Career and Technical Education Hi",40.7162714,-73.7983076,"165-65 84th Ave, Jamaica, NY 11432, USA",11432
"52","Theatre Arts Production Company School",40.8546548,-73.8970362,"2225 Webster Avenue, Bronx, NY 10457, United States",10457
"53","The Urban Assembly School for Law and Justice",40.6946132,-73.9883212,"283 Adams St, Brooklyn, NY 11201, USA",11201
"54","The Urban Assembly School for Green Careers",40.785994,-73.97417,"145 W 84th St, New York, NY 10024, USA",10024
"55","The Urban Assembly School for Global Commerce",40.8069921,-73.9386038,"2005 Madison Ave, New York, NY 10035, USA",10035
"56","The Urban Assembly School for Emergency Management",40.7110316,-74.0013216,"411 Pearl St, New York, NY 10038, USA",10038
"57","The Urban Assembly School for Collaborative Health",40.6929603,-73.8690232,"999 Jamaica Ave, Brooklyn, NY 11208, USA",11208
"58","The Urban Assembly Bronx Academy of Letters",40.81366,-73.925999,"339 Morris Ave, Bronx, NY 10451, USA",10451
"59","The Uft Charter School",40.6598508,-73.8855899,"800 Van Siclen Ave, Brooklyn, NY 11207, USA",11207
"60","The School for Classics: An Academy of Thinkers, W",40.6695156,-73.8741107,"370 Fountain Ave, Brooklyn, NY 11208, USA",11208
"61","The Opportunity Charter School",40.8014375,-73.955707,"240 W 113th St, New York, NY 10026, USA",10026
"62","The Michael J. Petrides School",40.6081534,-74.1055942,"715 Ocean Terrace, Staten Island, NY 10301, USA",10301
"63","The Metropolitan Soundview High School",40.8321278,-73.8777215,"1300 Boynton Ave, Bronx, NY 10472, USA",10472
"64","The Marie Curie School for Medicine, Nursing, and",40.8755907,-73.9017195,"120 W 231st St, Bronx, NY 10463, USA",10463
"65","The High School of Fashion Industries",40.74566,-73.996412,"225 W 24th St, New York, NY 10011, USA",10011
"66","THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",40.7353237,-73.9870812,"40 Irving Pl, New York, NY 10003, USA",10003
"67","The High School for Global Citizenship",40.6699561,-73.9611201,"883 Classon Ave, Brooklyn, NY 11225, USA",11225
"68","The High School for Enterprise, Business and Techn",40.711777,-73.9392113,"850 Grand St, Brooklyn, NY 11211, USA",11211
"69","The Global Learning Collaborative",40.785992,-73.9743724,"145 W 84th St, New York, NY 10024, USA",10024
"70","The Equality Charter School",40.8641362,-73.8239598,"4140 Hutchinson River Pkwy E, Bronx, NY 10475, USA",10475
"71","The College Academy",40.8608456,-73.9301494,"4600 Broadway, New York, NY 10040, USA",10040
"72","THE CINEMA SCHOOL",40.8324461,-73.8781481,"1551 E 172nd St, Bronx, NY 10472, USA",10472
"73","The Brooklyn School for Math and Research",40.6970064,-73.9117456,"400 Irving Ave, Brooklyn, NY 11237, USA",11237
"74","The Brooklyn Academy of Global Finance",40.6916161,-73.9332726,"125 Stuyvesant Ave, Brooklyn, NY 11221, USA",11221
"75","The Bronxwood Preparatory Academy",40.8882379,-73.85261,"921 E 228th St, Bronx, NY 10466, USA",10466
"76","Teachers Preparatory High School",40.6654883,-73.9120541,"Brooklyn, NY 11212, USA",11212
"77","Talent Unlimited High School",40.7660749,-73.9600658,"300 E 68th St, New York, NY 10065, USA",10065
"78","Susan E. Wagner High School",40.5972873,-74.1251624,"1200 Manor Rd, Staten Island, NY 10314, USA",10314
"79","Sunset Park High School",40.6551493,-74.0041149,"153 35th St, Brooklyn, NY 11232, USA",11232
"80","Summit Academy Charter School",40.6775869,-74.0047002,"27 Huntington St, Brooklyn, NY 11231, USA",11231
"81","Stuyvesant High School",40.7179842,-74.0138707,"345 Chambers St, New York, NY 10282, USA",10282
"82","Stephen T. Mather Building Arts & Craftsmanship Hi",40.7638485,-73.9902785,"4, 439 W 49th St, New York, NY 10019, USA",10019
"83","Staten Island Technical High School",40.5676214,-74.1181129,"485 Clawson St, Staten Island, NY 10306, USA",10306
"84","Special Music School",40.7752064,-73.9831573,"129 W 67th St, New York, NY 10023, USA",10023
"85","South Bronx Preparatory: A College Board School",40.8137231,-73.9206428,"360 E 145th St, Bronx, NY 10454, USA",10454
"86","Sheepshead Bay High School",40.59314,-73.936638,"3000 Avenue X, Brooklyn, NY 11235, USA",11235
"87","Secondary School for Law",40.6694296,-73.9788092,"237 7th Ave, Brooklyn, NY 11215, USA",11215
"88","Secondary School for Journalism",40.6694296,-73.9788092,"237 7th Ave, Brooklyn, NY 11215, USA",11215
"89","Science, Technology and Research Early College Hig",40.6495006,-73.9571733,"911 Flatbush Ave, Brooklyn, NY 11226, USA",11226
"90","Science Skills Center High School for Science, Tec",40.6975191,-73.9847778,"49 Flatbush Ave Ext, Brooklyn, NY 11201, USA",11201
"91","Schuylerville Preparatory High School",40.8401731,-73.8393567,"3000 E Tremont Ave, Bronx, NY 10461, USA",10461
"92","School of the Future High School",40.7390867,-73.9853658,"127 E 22nd St, New York, NY 10010, USA",10010
"93","School for Tourism and Hospitality",40.8217781,-73.9027626,"900 Tinton Ave, Bronx, NY 10456, USA",10456
"94","School for Legal Studies",40.7117723,-73.9391255,"850 Grand St, Brooklyn, NY 11211, USA",11211
"95","School for International Studies",40.6853525,-73.9937249,"284 Baltic St, Brooklyn, NY 11201, USA",11201
"96","School for Human Rights, The",40.658665,-73.943838,"600 Kingston Ave, Brooklyn, NY 11203, USA",11203
"97","School for Excellence",40.8273033,-73.9045097,"1100 Boston Rd, Bronx, NY 10456, USA",10456
"98","School for Democracy and  Leadership",40.658665,-73.943838,"600 Kingston Ave, Brooklyn, NY 11203, USA",11203
"99","Scholars' Academy",40.5842665,-73.8251698,"320 Beach 104th St, Rockaway Park, NY 11694, USA",11694
"100","Samuel Gompers Career and Technical Education High",40.810415,-73.9075759,"455 Southern Blvd, Bronx, NY 10455, USA",10455
"101","Rockaway Park High School for Environmental Sustai",40.5865189,-73.8234853,"100-00 Beach Channel Dr, Rockaway Park, NY 11694, USA",11694
"102","Rockaway Collegiate High School",40.5866656,-73.823435,"100-00 Beach Channel Dr, Rockaway Park, NY 11694, USA",11694
"103","Robert H. Goddard High School of Communication Art",40.6709381,-73.8456699,"138-30 Lafayette St, Ozone Park, NY 11417, USA",11417
"104","Robert F. Wagner, Jr. Secondary School for Arts an",40.7414438,-73.9369395,"4707 30th Pl, Long Island City, NY 11101, USA",11101
"105","Robert F. Kennedy Community High School",40.7253501,-73.8113253,"75-40 Parsons Blvd, Flushing, NY 11366, USA",11366
"106","Riverdale / Kingsbridge Academy (Middle School / H",40.8876623,-73.9135704,"660 W 236th St, Bronx, NY 10463, USA",10463
"107","Richmond Hill High School",40.6949616,-73.8340778,"89-30 114th St, Richmond Hill, NY 11418, USA",11418
"108","Richard R. Green High School of Teaching",40.7054431,-74.0129291,"7 Beaver St, New York, NY 10004, USA",10004
"109","Repertory Company High School for Theatre Arts",40.7561154,-73.9844504,"123 W 43rd St #2, New York, NY 10036, USA",10036
"110","Renaissance High School for Musical Theater & Tech",40.8401731,-73.8393567,"3000 E Tremont Ave, Bronx, NY 10461, USA",10461
"111","Renaissance Charter School",40.7499835,-73.8851717,"35-59 81st St, Jackson Heights, NY 11372, USA",11372
"112","Renaissance Charter High School for Innovation",40.7850266,-73.9420076,"410 E 100th St #2nd, New York, NY 10029, USA",10029
"113","Ralph R. McKee Career and Technical Education High",40.6427954,-74.0792526,"290 St Marks Pl, Staten Island, NY 10301, USA",10301
"114","Rachel Carson High School for Coastal Studies",40.582487,-73.9718778,"521 West Ave, Brooklyn, NY 11224, USA",11224
"115","Quest to Learn",40.7433678,-74.0025475,"351 W 18th St, New York, NY 10011, USA",10011
"116","Queens Vocational and Technical High School",40.741992,-73.927947,"37-02 47th Ave, Long Island City, NY 11101, USA",11101
"117","Queens School of Inquiry, The",40.724191,-73.80937,"158-40 76th Rd, Flushing, NY 11366, USA",11366
"118","Queens Preparatory Academy",40.6682778,-73.756888,"143-10 Springfield Blvd, Springfield Gardens, NY 11413, USA",11413
"119","QUEENS METROPOLITAN HIGH SCHOOL",40.7085723,-73.8556439,"91-30 Metropolitan Ave, Forest Hills, NY 11375, USA",11375
"120","Queens High School of Teaching, Liberal Arts and t",40.744121,-73.728799,"74-20 Commonwealth Blvd, Queens, NY 11426, USA",11426
"121","Queens High School for the Sciences at York Colleg",40.7009286,-73.7983153,"94-50 159th St, Jamaica, NY 11451, USA",11451
"122","Queens High School for Language Studies",40.7649086,-73.827688,"35-01 Union St, Flushing, NY 11354, USA",11354
"123","Queens High School for Information, Research, and",40.601532,-73.763979,"8-21 Bay 25th St, Far Rockaway, NY 11691, USA",11691
"124","Queens Gateway to Health Sciences Secondary School",40.718422,-73.8058837,"160-20 Goethals Ave, Jamaica, NY 11432, USA",11432
"125","Queens Collegiate: A College Board School",40.7141939,-73.7979008,"16701 Gothic Dr, Jamaica, NY 11432, USA",11432
"126","PROGRESS High School for Professional Careers",40.711809,-73.939075,"850 Grand St, Brooklyn, NY 11211, USA",11211
"127","Professional Performing Arts High School",40.7615598,-73.9884908,"328 W 48th St, New York, NY 10036, USA",10036
"128","Preparatory Academy for Writers: A College Board S",40.6679692,-73.7580558,"143-10 Springfield Blvd, Springfield Gardens, NY 11413, USA",11413
"129","Port Richmond High School",40.634843,-74.142015,"85 St Josephs Ave, Staten Island, NY 10302, USA",10302
"130","Performing Arts and Technology High School",40.6668454,-73.8952889,"400 Pennsylvania Ave, Brooklyn, NY 11207, USA",11207
"131","Pelham Preparatory Academy",40.8603656,-73.8602473,"925 Astor Ave, Bronx, NY 10469, USA",10469
"132","Pelham Lab High School",40.8398127,-73.8379652,"3000 E Tremont Ave, Bronx, NY 10461, USA",10461
"133","Peace and Diversity Academy",40.827719,-73.8970008,"1180 Rev James A Polite Ave, Bronx, NY 10459, USA",10459
"134","Pathways in Technology Early College High School (",40.6759682,-73.9392494,"150 Albany Ave, Brooklyn, NY 11213, USA",11213
"135","Pathways College Preparatory School: A College Boa",40.7057537,-73.7527082,"109-89 204th St, St. Albans, NY 11412, USA",11412
"136","Park Slope Collegiate",40.6694296,-73.9788092,"237 7th Ave, Brooklyn, NY 11215, USA",11215
"137","Park East High School",40.7903307,-73.9440649,"230 E 105th St, New York, NY 10029, USA",10029
"138","Pan American International High School at Monroe",40.8321278,-73.8777215,"1300 Boynton Ave, Bronx, NY 10472, USA",10472
"139","Pan American International High School",40.743329,-73.871507,"45-10 94th St, Queens, NY 11373, USA",11373
"140","Pace High School",40.7161208,-73.9940528,"100 Hester St, New York, NY 10002, USA",10002
"141","Pablo Neruda Academy",40.8213444,-73.8556733,"1980 Lafayette Ave # 4, Bronx, NY 10473, USA",10473
"142","Origins High School",40.5934398,-73.9367824,"3000 Avenue X, Brooklyn, NY 11235, USA",11235
"143","Ocean Hill Collegiate Charter School",40.6780824,-73.9159194,"1137 Herkimer St, Brooklyn, NY 11233, USA",11233
"144","NYC iSchool",40.7244276,-74.0048709,"131 6th Ave, New York, NY 10013, USA",10013
"145","NYC Charter High School for Architecture, Engineer",40.8218406,-73.9105384,"838 Brook Ave, Bronx, NY 10451, USA",10451
"146","Northside Charter High School",40.719717,-73.9484512,"424 Leonard St, Brooklyn, NY 11222, USA",11222
"147","Newtown High School",40.7408369,-73.8739856,"48-01 90th St, Elmhurst, NY 11373, USA",11373
"148","Newcomers High School",40.7514349,-73.9369976,"28-01 41st Ave, Long Island City, NY 11101, USA",11101
"149","New World High School",40.8883728,-73.8527494,"921 E 228th St, Bronx, NY 10466, USA",10466
"150","New Visions Charter High School for the Humanities",40.8775187,-73.9132554,"99 Terrace View Ave, Bronx, NY 10463, USA",10463
"151","New Visions Charter High School for Advanced Math",40.59314,-73.936638,"3000 Avenue X, Brooklyn, NY 11235, USA",11235
"152","New Utrecht High School",40.6134264,-74.0029406,"1601 80th St, Brooklyn, NY 11214, USA",11214
"153","New Heights Academy Charter School",40.8286152,-73.9454018,"1818 Amsterdam Ave, New York, NY 10031, USA",10031
"154","New Explorers High School",40.8226154,-73.9233477,"730 Concourse Village W, Bronx, NY 10451, USA",10451
"155","New Explorations into Science, Technology and Math",40.719485,-73.979552,"111 Columbia St, New York, NY 10002, USA",10002
"156","New Dorp High School",40.5695781,-74.1073767,"465 New Dorp Ln, Staten Island, NY 10306, USA",10306
"157","New Design High School",40.7173162,-73.989318,"4, 350 Grand St, New York, NY 10002, USA",10002
"158","Nelson Mandela High School",40.6789033,-73.9314906,"1700 Fulton St, Brooklyn, NY 11213, USA",11213
"159","N.Y.C. Museum School",40.7425709,-74.0023709,"333 W 17th St, New York, NY 10011, USA",10011
"160","N.Y.C. Lab School for Collaborative Studies",40.7425709,-74.0023709,"333 W 17th St, New York, NY 10011, USA",10011
"161","Murry Bergtraum High School for Business Careers",40.7113418,-74.0019945,"411 Pearl St, New York, NY 10038, USA",10038
"162","Multicultural High School",40.6930052,-73.8690682,"999 Jamaica Ave, Brooklyn, NY 11208, USA",11208
"163","Mott Haven Village Preparatory High School",40.8181071,-73.9114331,"701 St Ann's Ave, Bronx, NY 10455, USA",10455
"164","Mott Hall V",40.8318874,-73.8772819,"1551 E 172nd St, Bronx, NY 10472, USA",10472
"165","Mott Hall High School",40.817349,-73.94745,"4, 6 Edgecombe Ave, New York, NY 10030, USA",10030
"166","Mott Hall Bronx High School",40.8396148,-73.9017332,"1595 Bathgate Ave, Bronx, NY 10457, USA",10457
"167","Morris Academy for Collaborative Studies",40.8272169,-73.9039243,"1100 Boston Rd, Bronx, NY 10456, USA",10456
"168","Monroe Academy for Visual Arts & Design",40.8323001,-73.8785801,"1300 Boynton Ave, Bronx, NY 10472, USA",10472
"169","Millennium High School",40.7046866,-74.0112304,"75 Broad St, New York, NY 10004, USA",10004
"170","Millennium Brooklyn HS",40.6693177,-73.9786411,"237 7th Ave, Brooklyn, NY 11215, USA",11215
"171","Millennium Art Academy",40.8213444,-73.8556733,"1980 Lafayette Ave, Bronx, NY 10473, USA",10473
"172","Midwood High School",40.632833,-73.9523773,"2839 Bedford Ave, Brooklyn, NY 11210, USA",11210
"173","Middle College High School at LaGuardia Community",40.7433449,-73.933675,"3101 Thomson Ave, Long Island City, NY 11101, USA",11101
"174","Metropolitan High School, The",40.827733,-73.897018,"1180 Rev James A Polite Ave, Bronx, NY 10459, USA",10459
"175","Metropolitan Expeditionary Learning School",40.708521,-73.8556713,"91-30 Metropolitan Ave, Forest Hills, NY 11375, USA",11375
"176","Medgar Evers College Preparatory School",40.6669914,-73.9511135,"1186 Carroll St, Brooklyn, NY 11225, USA",11225
"177","Mathematics, Science Research and Technology Magne",40.6981894,-73.7460088,"207-01 116th Ave, Cambria Heights, NY 11411, USA",11411
"178","Math, Engineering, and Science Academy Charter Hig",40.695375,-73.9156662,"231 Palmetto St, Brooklyn, NY 11221, USA",11221
"179","Maspeth High School",40.7291993,-73.8876918,"54-40 74th St, Queens, NY 11373, USA",11373
"180","Martin Van Buren High School",40.7336309,-73.7391435,"230-17 Hillside Avenue, Queens Village, NY 11427, USA",11427
"181","Marta Valle High School",40.7205149,-73.9856828,"145 Stanton St, New York, NY 10002, USA",10002
"182","Marble Hill High School for International Studies",40.8771416,-73.9126839,"99 Terrace View Ave, Bronx, NY 10463, USA",10463
"183","Manhattan Village Academy",40.7418899,-73.9923147,"43 W 22nd St, New York, NY 10010, USA",10010
"184","Manhattan Theatre Lab High School",40.7747793,-73.98472,"122 Amsterdam Ave, New York, NY 10023, USA",10023
"185","Manhattan International High School",40.7657337,-73.9598154,"317 E 67th St, New York, NY 10065, USA",10065
"186","Manhattan Early College School for Advertising",40.7112756,-74.0012679,"411 Pearl St, New York, NY 10038, USA",10038
"187","Manhattan Center for Science and Mathematics",40.7943534,-73.9329763,"280 Pleasant Ave, New York, NY 10029, USA",10029
"188","MANHATTAN BUSINESS ACADEMY",40.7433678,-74.0025475,"351 W 18th St, New York, NY 10011, USA",10011
"189","Manhattan Bridges High School",40.7652446,-73.9927375,"525 W 50th St, New York, NY 10019, USA",10019
