"","school.name","lat","lon","addr","zipcode"
"322","Fiorello H. LaGuardia High School of Music & Art a",40.7741856,-73.9851211,"100 Amsterdam Ave, New York, NY 10023, USA",10023
"323","Felisa Rincon de Gautier Institute for Law and Pub",40.820831,-73.8806876,"1440 Story Ave, Bronx, NY 10473, USA",10473
"324","FDNY High School for Fire and Life Safety",40.6675989,-73.8947925,"400 Pennsylvania Ave, Brooklyn, NY 11207, USA",11207
"325","Fannie Lou Hamer Freedom High School",40.8310801,-73.8856007,"10001, Jennings Street, Bronx, New York 10460, United States",10460
"326","Facing History School, The",40.7655356,-73.9931625,"525 W 50th St, New York, NY 10019, USA",10019
"327","Explorations Academy",40.8362837,-73.890659,"1619 Boston Rd, Bronx, NY 10460, USA",10460
"328","Expeditionary Learning School for Community Leader",40.5935726,-73.985987,"2630 Benson Ave, Brooklyn, NY 11214, USA",11214
"329","Eximius College Preparatory Academy: A College Boa",40.8339721,-73.9027472,"1363 Fulton Ave, Bronx, NY 10456, USA",10456
"330","Excelsior Preparatory High School",40.6680413,-73.7579342,"143-10 Springfield Blvd, Springfield Gardens, NY 11413, USA",11413
"331","Excellence Boys Charter School",40.6834471,-73.9259532,"225 Patchen Ave, Brooklyn, NY 11233, USA",11233
"332","Essex Street Academy",40.717321,-73.989323,"350 Grand St, New York, NY 10002, USA",10002
"333","ESPERANZA PREPARATORY ACADEMY",40.792727,-73.9421359,"240 E 109th St, New York, NY 10029, USA",10029
"334","Epic High School - South",40.6750633,-73.8166916,"121-10 Rockaway Blvd, South Ozone Park, NY 11420, USA",11420
"335","Epic High School - North",40.6926827,-73.8290101,"94-25 117th St, South Richmond Hill, NY 11419, USA",11419
"336","Energy Tech High School",40.8552601,-73.8824187,"2474 Crotona Ave, Bronx, NY 10458, USA",10458
"337","Eleanor Roosevelt High School",40.770282,-73.953267,"411 E 76th St, New York, NY 10021, USA",10021
"338","El Puente Academy for Peace and Justice",40.7056151,-73.9554827,"250 Hooper St, Brooklyn, NY 11211, USA",11211
"339","Edward R. Murrow High School",40.6197592,-73.9591139,"1600 Avenue L, Brooklyn, NY 11230, USA",11230
"340","EBC High School for Public Service - Bushwick",40.6947519,-73.9292674,"1155 Dekalb Ave, Brooklyn, NY 11221, USA",11221
"341","East-West School of International Studies",40.7494299,-73.82141,"46-21 Colden St, Flushing, NY 11355, USA",11355
"342","East Side Community School",40.7293824,-73.982502,"420 E 12th St, New York, NY 10009, USA",10009
"343","East New York Family Academy",40.6610312,-73.8869552,"2057 Linden Blvd, Brooklyn, NY 11207, USA",11207
"344","East Bronx Academy for the Future",40.8367822,-73.8877059,"1716 Southern Blvd, Bronx, NY 10460, USA",10460
"345","Eagle Academy for Young Men III",40.6779834,-73.915842,"1137 Herkimer St, Brooklyn, NY 11233, USA",11233
"346","Eagle Academy for Young Men II",40.6779834,-73.915842,"1137 Herkimer St, Brooklyn, NY 11233, USA",11233
"347","Eagle Academy for Young Men",40.845264,-73.897176,"4143 Third Ave, Bronx, NY 10457, USA",10457
